strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed,gate_2_bonferroni_value,gate_2_bonferroni_passed,gate_3_dsr_value,gate_3_dsr_passed
52wh_break_retest,bull,Energy,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,bear,Communication Services,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
adx_initiation,bear,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,8,8,False,,,,
adx_initiation,bear,Energy,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
adx_initiation,bear,Financials,INSUFFICIENT_SAMPLE,0,9,9,False,,,,
adx_initiation,bear,Health Care,INSUFFICIENT_SAMPLE,0,25,25,False,,,,
adx_initiation,bear,Industrials,INSUFFICIENT_SAMPLE,0,11,11,False,,,,
adx_initiation,bear,Information Technology,INSUFFICIENT_SAMPLE,0,7,7,False,,,,
adx_initiation,bear,Materials,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
adx_initiation,bear,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,bear,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,bull,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
adx_initiation,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,7,7,False,,,,
adx_initiation,bull,Energy,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
adx_initiation,bull,Financials,INSUFFICIENT_SAMPLE,0,7,7,False,,,,
adx_initiation,bull,Health Care,INSUFFICIENT_SAMPLE,0,28,28,False,,,,
adx_initiation,bull,Industrials,INSUFFICIENT_SAMPLE,0,11,11,False,,,,
adx_initiation,bull,Information Technology,INSUFFICIENT_SAMPLE,0,12,12,False,,,,
adx_initiation,bull,Materials,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
adx_initiation,bull,Unknown,INSUFFICIENT_SAMPLE,0,8,8,False,,,,
adx_initiation,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
adx_initiation,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
adx_initiation,neutral,Health Care,INSUFFICIENT_SAMPLE,0,8,8,False,,,,
adx_initiation,neutral,Industrials,INSUFFICIENT_SAMPLE,0,8,8,False,,,,
adx_initiation,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
adx_initiation,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
adx_initiation,neutral,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,bear,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,bear,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,5,5,False,,,,
avwap_252_breakout,bear,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,bear,Energy,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
avwap_252_breakout,bear,Financials,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
avwap_252_breakout,bear,Health Care,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
avwap_252_breakout,bear,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,bear,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False,,,,
avwap_252_breakout,bear,Materials,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
avwap_252_breakout,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,bull,Health Care,INSUFFICIENT_SAMPLE,0,4,4,False,,,,
avwap_252_breakout,bull,Industrials,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
avwap_252_breakout,bull,Information Technology,INSUFFICIENT_SAMPLE,0,5,5,False,,,,
avwap_252_breakout,bull,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,bull,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,neutral,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_252_breakout,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_50_reclaim,bear,Commodities,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
avwap_50_reclaim,bear,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
avwap_50_reclaim,bear,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,27,27,False,,,,
avwap_50_reclaim,bear,Consumer Staples,INSUFFICIENT_SAMPLE,0,4,4,False,,,,
avwap_50_reclaim,bear,Energy,INSUFFICIENT_SAMPLE,0,5,5,False,,,,
avwap_50_reclaim,bear,Financials,INSUFFICIENT_SAMPLE,0,9,9,False,,,,
avwap_50_reclaim,bear,Health Care,INSUFFICIENT_SAMPLE,0,22,22,False,,,,
avwap_50_reclaim,bear,Industrials,INSUFFICIENT_SAMPLE,0,12,12,False,,,,
avwap_50_reclaim,bear,Information Technology,INSUFFICIENT_SAMPLE,0,10,10,False,,,,
avwap_50_reclaim,bear,Materials,INSUFFICIENT_SAMPLE,0,7,7,False,,,,
avwap_50_reclaim,bear,Real Estate,INSUFFICIENT_SAMPLE,0,5,5,False,,,,
avwap_50_reclaim,bear,Unknown,INSUFFICIENT_SAMPLE,0,7,7,False,,,,
avwap_50_reclaim,bear,Utilities,INSUFFICIENT_SAMPLE,0,2,2,False,,,,
avwap_50_reclaim,bull,Commodities,INSUFFICIENT_SAMPLE,0,1,1,False,,,,
