date,event,z_score,today_dispersion,ticker,level,reason,exit_price,dd_from_peak,rolling_peak_equity,current_equity,action,new_stop,note
2023-06-22,dispersion_cb_triggered_dec128,6.1661,0.047785,,,,,,,,,,
2023-06-23,dispersion_cb_triggered_dec128,5.7302,0.046296,,,,,,,,,,
2023-06-26,dispersion_cb_triggered_dec128,5.9644,0.047251,,,,,,,,,,
2023-06-27,dispersion_cb_triggered_dec128,7.3251,0.049202,,,,,,,,,,
2023-06-28,dispersion_cb_triggered_dec128,6.9103,0.046537,,,,,,,,,,
2023-06-29,dispersion_cb_triggered_dec128,7.1162,0.047996,,,,,,,,,,
2023-06-30,dispersion_cb_triggered_dec128,6.7494,0.046633,,,,,,,,,,
2023-07-03,dispersion_cb_triggered_dec128,9.0535,0.05052,,,,,,,,,,
2023-07-04,dispersion_cb_triggered_dec128,9.0535,0.05052,,,,,,,,,,
2023-07-05,dispersion_cb_triggered_dec128,7.6803,0.047062,,,,,,,,,,
2023-07-06,dispersion_cb_triggered_dec128,7.9272,0.047365,,,,,,,,,,
2023-07-07,dispersion_cb_triggered_dec128,10.0,0.048872,,,,,,,,,,
2023-07-10,dispersion_cb_triggered_dec128,10.0,0.053125,,,,,,,,,,
2023-07-11,dispersion_cb_triggered_dec128,8.219,0.048047,,,,,,,,,,
2023-07-12,dispersion_cb_triggered_dec128,10.0,0.074578,,,,,,,,,,
2023-07-17,dispersion_cb_triggered_dec128,3.7106,0.057213,,,,,,,,,,
2023-07-20,dispersion_cb_triggered_dec128,3.6228,0.060331,,,,,,,,,,
2023-08-09,dispersion_cb_triggered_dec128,3.178,0.059153,,,,,,,,,,
2023-08-10,dispersion_cb_triggered_dec128,3.7519,0.053662,,,,,,,,,,
2023-08-11,dispersion_cb_triggered_dec128,3.2478,0.049436,,,,,,,,,,
2023-08-17,dispersion_cb_triggered_dec128,3.0216,0.047774,,,,,,,,,,
2023-08-18,dispersion_cb_triggered_dec128,3.3546,0.045927,,,,,,,,,,
2023-08-21,dispersion_cb_triggered_dec128,3.4823,0.047369,,,,,,,,,,
2023-08-22,dispersion_cb_triggered_dec128,3.1759,0.046156,,,,,,,,,,
2023-08-23,dispersion_cb_triggered_dec128,4.0162,0.052206,,,,,,,,,,
2023-08-24,dispersion_cb_triggered_dec128,3.2272,0.047087,,,,,,,,,,
2023-08-25,dispersion_cb_triggered_dec128,3.1287,0.046499,,,,,,,,,,
2023-08-28,dispersion_cb_triggered_dec128,3.0414,0.046209,,,,,,,,,,
2023-08-29,dispersion_cb_triggered_dec128,3.2156,0.047775,,,,,,,,,,
2023-08-30,dispersion_cb_triggered_dec128,3.0802,0.046409,,,,,,,,,,
2023-08-31,dispersion_cb_triggered_dec128,3.3362,0.046647,,,,,,,,,,
2023-09-01,dispersion_cb_triggered_dec128,3.7122,0.049077,,,,,,,,,,
2023-09-04,dispersion_cb_triggered_dec128,3.7122,0.049077,,,,,,,,,,
2023-09-05,dispersion_cb_triggered_dec128,3.7846,0.047911,,,,,,,,,,
2023-09-06,dispersion_cb_triggered_dec128,4.0437,0.046739,,,,,,,,,,
2023-09-07,dispersion_cb_triggered_dec128,4.9144,0.051876,,,,,,,,,,
2023-09-08,dispersion_cb_triggered_dec128,5.4947,0.046429,,,,,,,,,,
2023-09-11,dispersion_cb_triggered_dec128,7.0873,0.048458,,,,,,,,,,
2023-09-12,dispersion_cb_triggered_dec128,6.973,0.047654,,,,,,,,,,
2023-09-13,dispersion_cb_triggered_dec128,6.871,0.046461,,,,,,,,,,
2023-09-14,dispersion_cb_triggered_dec128,7.5315,0.049488,,,,,,,,,,
2023-09-15,dispersion_cb_triggered_dec128,6.8032,0.047935,,,,,,,,,,
2023-09-18,dispersion_cb_triggered_dec128,7.1756,0.048275,,,,,,,,,,
2023-09-19,dispersion_cb_triggered_dec128,6.4222,0.045842,,,,,,,,,,
2023-09-20,dispersion_cb_triggered_dec128,6.6624,0.046631,,,,,,,,,,
2023-09-21,dispersion_cb_triggered_dec128,6.6217,0.045929,,,,,,,,,,
2023-09-22,dispersion_cb_triggered_dec128,7.8839,0.046364,,,,,,,,,,
2023-09-25,dispersion_cb_triggered_dec128,8.245,0.048017,,,,,,,,,,
2023-09-26,dispersion_cb_triggered_dec128,10.0,0.084235,,,,,,,,,,
2023-10-25,dispersion_cb_triggered_dec128,7.7149,0.047899,,,,,,,,,,
2023-10-26,dispersion_cb_triggered_dec128,8.356,0.050648,,,,,,,,,,
2023-10-27,dispersion_cb_triggered_dec128,8.3506,0.051319,,,,,,,,,,
2023-10-30,dispersion_cb_triggered_dec128,7.9793,0.051819,,,,,,,,,,
2023-10-31,halt_triggered,,,,6.0,,,-0.2109,101899.97,80409.44,,,
2023-11-01,,,,MTCH,1.0,overnight_gap_down_12.7pct,30.2,,,,,,
2023-11-07,,,,ADTN,1.0,overnight_gap_down_27.4pct,5.32,,,,,,
2024-01-02,halt_triggered,,,,6.0,,,-0.2561,101899.97,75802.92,,,
2024-01-19,halt_resumed,,,,6.0,,,-0.2368,101899.97,77766.95,,,
2024-01-22,halt_triggered,,,,6.0,,,-0.2368,101899.97,77766.95,,,
2024-02-02,halt_resumed,,,,6.0,,,-0.2159,101899.97,79902.45999999999,,,
2024-02-05,halt_triggered,,,,6.0,,,-0.2258,101899.97,78895.27,,,
2024-02-15,halt_resumed,,,,6.0,,,-0.1867,101899.97,82877.04000000001,,,
2024-03-18,halt_triggered,,,,6.0,,,-0.2052,101899.97,80992.14,,,
2024-04-15,halt_resumed,,,,6.0,,,-0.1663,101899.97,84949.22,,,
2024-05-08,,,,SHLS,1.0,overnight_gap_down_13.0pct,7.66,,,,,,
2024-06-13,halt_triggered,,,,6.0,,,-0.2049,101899.97,81021.81,,,
2024-06-27,,,,WBA,1.0,overnight_gap_down_19.8pct,12.56,,,,,,
2024-08-01,halt_resumed,,,,6.0,,,-0.1753,101899.97,84033.88,,,
2024-08-28,,,,NBIX,1.0,overnight_gap_down_17.5pct,125.9,,,,,,
2024-10-29,,,,CVI,1.0,overnight_gap_down_19.2pct,19.25,,,,,,
2024-11-05,,,,CE,1.0,overnight_gap_down_19.1pct,99.86,,,,,,
2025-01-06,dispersion_cb_triggered_dec128,4.5569,0.164332,,,,,,,,,,
2025-02-03,,,,HUT,1.0,overnight_gap_down_12.2pct,19.042,,,,,,
2025-03-24,,,,ZIM,1.0,overnight_gap_down_14.5pct,15.24,,,,,,
2025-03-28,dispersion_cb_triggered_dec128,4.3671,0.073312,,,,,,,,,,
2025-04-04,,,,SHY,5.0,vix_crisis_45.3,,,,,tighten_stop,79.1255,
2025-04-04,,,,HYG,5.0,vix_crisis_45.3,,,,,tighten_stop,76.342,
2025-04-04,,,,KR,5.0,vix_crisis_45.3,,,,,tighten_stop,67.20299999999999,
2025-04-04,,,,CHKP,5.0,vix_crisis_45.3,,,,,tighten_stop,219.7445,
2025-04-04,,,,CVX,5.0,vix_crisis_45.3,,,,,tighten_stop,160.0845,
2025-04-04,,,,SBAC,5.0,vix_crisis_45.3,,,,,tighten_stop,219.3265,
2025-04-04,,,,TGI,5.0,vix_crisis_45.3,,,,,tighten_stop,24.2535,
2025-04-04,,,,CART,5.0,vix_crisis_45.3,,,,,tighten_stop,39.786,
2025-04-04,,,,PKG,5.0,vix_crisis_45.3,,,,,tighten_stop,191.292,
2025-04-04,,,,ISRG,5.0,vix_crisis_45.3,,,,,tighten_stop,493.8195,
2025-04-04,,,,BTSG,5.0,vix_crisis_45.3,,,,,tighten_stop,17.7555,
2025-04-04,,,,PTC,5.0,vix_crisis_45.3,,,,,tighten_stop,154.66,
2025-04-04,,,,CAH,5.0,vix_crisis_45.3,,,,,tighten_stop,131.73649999999998,
2025-04-04,,,,SLNO,5.0,vix_crisis_45.3,,,,,tighten_stop,69.98649999999999,
2025-04-04,,,,APLS,5.0,vix_crisis_45.3,,,,,tighten_stop,21.85,
2025-04-04,,,,TW,5.0,vix_crisis_45.3,,,,,tighten_stop,141.56900000000002,
2025-04-04,,,,AM,5.0,vix_crisis_45.3,,,,,tighten_stop,17.537,
2025-04-04,,,,SRFM,5.0,vix_crisis_45.3,,,,,tighten_stop,2.261,
2025-04-04,,,,UPST,5.0,vix_crisis_45.3,,,,,tighten_stop,34.411185,
2025-04-07,,,,SHY,5.0,vix_crisis_47.0,,,,,tighten_stop,79.1255,
2025-04-07,,,,HYG,5.0,vix_crisis_47.0,,,,,tighten_stop,76.342,
2025-04-07,,,,SBAC,5.0,vix_crisis_47.0,,,,,tighten_stop,219.3265,
2025-04-07,,,,TGI,5.0,vix_crisis_47.0,,,,,tighten_stop,24.2535,
2025-04-08,,,,SHY,5.0,vix_crisis_52.3,,,,,tighten_stop,79.1255,
2025-04-08,,,,ACMR,5.0,vix_crisis_52.3,,,,,tighten_stop,19.228665,
2025-04-08,,,,VET,5.0,vix_crisis_52.3,,,,,tighten_stop,6.035825,
2025-04-08,,,,AMPH,5.0,vix_crisis_52.3,,,,,tighten_stop,24.278295,
2025-04-08,,,,SWK,5.0,vix_crisis_52.3,,,,,tighten_stop,58.78334,
2025-04-08,,,,DXYZ,5.0,vix_crisis_52.3,,,,,tighten_stop,31.061675,
2025-04-08,,,,BMRN,5.0,vix_crisis_52.3,,,,,tighten_stop,57.69141,
2025-04-08,,,,AES,5.0,vix_crisis_52.3,,,,,tighten_stop,10.422355,
2025-04-08,,,,LVS,5.0,vix_crisis_52.3,,,,,tighten_stop,31.47445,
2025-04-10,,,,SHY,5.0,vix_crisis_40.7,,,,,tighten_stop,79.1255,
2025-04-10,,,,EXAS,5.0,vix_crisis_40.7,,,,,tighten_stop,43.225,
2025-04-10,,,,AA,5.0,vix_crisis_40.7,,,,,tighten_stop,24.567,
2025-04-10,,,,ELAN,5.0,vix_crisis_40.7,,,,,tighten_stop,8.911,
2025-04-10,,,,ADP,5.0,vix_crisis_40.7,,,,,tighten_stop,279.9555,
2025-04-10,,,,SOC,5.0,vix_crisis_40.7,,,,,tighten_stop,18.772,
2025-04-10,,,,DVN,5.0,vix_crisis_40.7,,,,,tighten_stop,29.5165,
2025-04-10,,,,ISRG,5.0,vix_crisis_40.7,,,,,tighten_stop,485.565235,
2025-04-10,,,,CBOE,5.0,vix_crisis_40.7,,,,,tighten_stop,194.65576,
2025-04-10,,,,LDOS,5.0,vix_crisis_40.7,,,,,tighten_stop,131.561985,
2025-04-10,,,,BIRK,5.0,vix_crisis_40.7,,,,,tighten_stop,45.248975,
2025-04-10,,,,FERG,5.0,vix_crisis_40.7,,,,,tighten_stop,153.358975,
2025-06-24,dispersion_cb_triggered_dec128,3.6542,0.063525,,,,,,,,,,
2025-12-03,dispersion_cb_triggered_dec128,10.0,0.240767,,,,,,,,,,
2026-03-02,,,,AES,1.0,overnight_gap_down_17.0pct,14.345,,,,,,
2026-03-31,dispersion_cb_triggered_dec128,6.1798,0.090333,,,,,,,,,,
2026-04-30,,,,CHKP,1.0,overnight_gap_down_12.2pct,122.91,,,,,,
2022-07-05,dispersion_cb_triggered_dec128,3.553,0.044142,,,,,,,,,,
2022-07-28,,,,RUN,1.0,overnight_gap_up_20.1pct,28.58,,,,,,
2022-08-05,halt_triggered,,,,6.0,,,-0.2036,100000.0,79643.98999999999,,,
2022-08-09,halt_resumed,,,,6.0,,,-0.1791,100000.0,82086.54000000001,,,
2022-09-29,halt_triggered,,,,6.0,,,-0.2099,100000.0,79009.42,,,
2022-10-07,halt_resumed,,,,6.0,,,-0.1843,100000.0,81566.98999999999,,,
2022-10-11,halt_triggered,,,,6.0,,,-0.2001,100000.0,79989.31,,,
2022-12-13,halt_triggered,,,,6.0,,,-0.2165,100000.0,78347.6,,,
2022-12-16,halt_resumed,,,,6.0,,,-0.1878,100000.0,81219.12,,,
2022-12-27,halt_triggered,,,,6.0,,,-0.2083,100000.0,79165.8,,,
2023-02-28,halt_triggered,,,,6.0,,,-0.2321,100000.0,76790.22,,,
2023-03-08,,,,UNFI,1.0,overnight_gap_down_35.0pct,26.61,,,,,,
2023-03-17,,,,SRPT,1.0,overnight_gap_down_20.3pct,119.31,,,,,,
2023-05-02,halt_triggered,,,,6.0,,,-0.2762,100000.0,72384.89,,,
2023-07-04,halt_triggered,,,,6.0,,,-0.2889,100000.0,71113.15,,,
2023-09-05,halt_triggered,,,,6.0,,,-0.3153,100000.0,68472.95999999999,,,
2023-11-07,halt_triggered,,,,6.0,,,-0.4079,100000.0,59207.73,,,
2024-01-05,halt_resumed,,,,6.0,,,-0.0011,100000.0,99893.59,,,
2024-02-08,dispersion_cb_triggered_dec128,4.5079,0.039963,,,,,,,,,,
2024-02-13,dispersion_cb_triggered_dec128,4.2073,0.046359,,,,,,,,,,
2024-04-16,dispersion_cb_triggered_dec128,3.244,0.041297,,,,,,,,,,
2024-05-08,dispersion_cb_triggered_dec128,3.1932,0.045449,,,,,,,,,,
2024-05-13,dispersion_cb_triggered_dec128,3.7007,0.057077,,,,,,,,,,
2024-10-16,dispersion_cb_triggered_dec128,3.3868,0.054331,,,,,,,,,,
2024-11-21,dispersion_cb_triggered_dec128,4.4204,0.074591,,,,,,,,,,
2025-01-24,dispersion_cb_triggered_dec128,3.2129,0.126579,,,,,,,,,,
2025-02-28,dispersion_cb_triggered_dec128,3.2998,0.045422,,,,,,,,,,
2025-03-03,dispersion_cb_triggered_dec128,4.3605,0.054295,,,,,,,,,,
2025-04-03,dispersion_cb_triggered_dec128,4.8531,0.061828,,,,,,,,,,
2025-04-04,,,,PAYX,5.0,vix_crisis_45.3,,,,,tighten_stop,147.19299999999998,
2025-04-04,,,,K,5.0,vix_crisis_45.3,,,,,tighten_stop,78.755,
2025-04-04,,,,IEF,5.0,vix_crisis_45.3,,,,,tighten_stop,94.183,
2025-04-04,,,,AZN,5.0,vix_crisis_45.3,,,,,tighten_stop,74.062,
2025-04-04,,,,AMT,5.0,vix_crisis_45.3,,,,,tighten_stop,216.7805,
2025-04-04,,,,MDT,5.0,vix_crisis_45.3,,,,,tighten_stop,89.77499999999999,
2025-04-04,,,,MAA,5.0,vix_crisis_45.3,,,,,tighten_stop,162.37399999999997,
2025-04-04,,,,VTR,5.0,vix_crisis_45.3,,,,,tighten_stop,66.9465,
2025-04-04,,,,FE,5.0,vix_crisis_45.3,,,,,tighten_stop,38.9975,
2025-04-04,,,,GRND,5.0,vix_crisis_45.3,,,,,tighten_stop,17.764999999999997,
2025-04-04,,,,UNFI,5.0,vix_crisis_45.3,,,,,tighten_stop,26.657,
2025-04-04,,,,S,5.0,vix_crisis_45.3,,,,,tighten_stop,18.8055,
2025-04-04,,,,ACN,5.0,vix_crisis_45.3,,,,,tighten_stop,300.5135,
2025-04-04,,,,ANNX,5.0,vix_crisis_45.3,,,,,tighten_stop,1.862,
2025-04-04,,,,TERN,5.0,vix_crisis_45.3,,,,,tighten_stop,2.38412,
2025-04-07,,,,K,5.0,vix_crisis_47.0,,,,,tighten_stop,78.755,
2025-04-07,,,,IEF,5.0,vix_crisis_47.0,,,,,tighten_stop,94.183,
2025-04-07,,,,AMT,5.0,vix_crisis_47.0,,,,,tighten_stop,216.7805,
2025-04-07,,,,FE,5.0,vix_crisis_47.0,,,,,tighten_stop,38.9975,
2025-04-07,,,,S,5.0,vix_crisis_47.0,,,,,tighten_stop,17.7555,
2025-04-08,,,,K,5.0,vix_crisis_52.3,,,,,tighten_stop,78.755,
2025-04-08,,,,IEF,5.0,vix_crisis_52.3,,,,,tighten_stop,94.183,
2025-04-08,,,,S,5.0,vix_crisis_52.3,,,,,tighten_stop,17.745,
2025-04-08,,,,AAPL,5.0,vix_crisis_52.3,,,,,tighten_stop,178.14324,
2025-04-08,,,,FDMT,5.0,vix_crisis_52.3,,,,,tighten_stop,2.63378,
2025-04-08,,,,PI,5.0,vix_crisis_52.3,,,,,tighten_stop,70.65454,
2025-04-08,,,,IAS,5.0,vix_crisis_52.3,,,,,tighten_stop,6.7849,
2025-04-08,,,,ARE,5.0,vix_crisis_52.3,,,,,tighten_stop,76.90021999999999,
2025-04-08,,,,DD,5.0,vix_crisis_52.3,,,,,tighten_stop,23.77299,
2025-04-08,,,,EMN,5.0,vix_crisis_52.3,,,,,tighten_stop,72.801635,
2025-04-09,dispersion_cb_triggered_dec128,4.0466,0.070838,,,,,,,,,,
2025-04-10,,,,K,5.0,vix_crisis_40.7,,,,,tighten_stop,78.755,
2025-04-10,,,,PLD,5.0,vix_crisis_40.7,,,,,tighten_stop,93.309,
2025-04-10,,,,LMND,5.0,vix_crisis_40.7,,,,,tighten_stop,28.329,
2025-04-10,,,,UDR,5.0,vix_crisis_40.7,,,,,tighten_stop,39.0165,
2025-04-30,dispersion_cb_triggered_dec128,3.1959,0.073782,,,,,,,,,,
2025-05-07,dispersion_cb_triggered_dec128,10.0,0.287002,,,,,,,,,,
2025-05-29,,,,S,1.0,overnight_gap_down_13.8pct,16.95,,,,,,
2025-07-07,dispersion_cb_triggered_dec128,3.147,0.045695,,,,,,,,,,
2025-09-10,dispersion_cb_triggered_dec128,3.3139,0.044916,,,,,,,,,,
2025-09-22,dispersion_cb_triggered_dec128,5.1512,0.060602,,,,,,,,,,
2025-11-03,,,,KMB,1.0,overnight_gap_down_12.5pct,104.69,,,,,,
2025-11-03,dispersion_cb_triggered_dec128,4.0717,0.052428,,,,,,,,,,
2025-11-06,,,,PRMB,1.0,overnight_gap_down_16.0pct,19.04,,,,,,
2025-11-18,dispersion_cb_triggered_dec128,7.7364,0.088235,,,,,,,,,,
2025-12-08,dispersion_cb_triggered_dec128,4.7931,0.099168,,,,,,,,,,
2026-01-20,dispersion_cb_triggered_dec128,9.4197,0.104022,,,,,,,,,,
2026-03-16,,,,VIVO,1.0,overnight_gap_down_94.5pct,1.86,,,,,,
2026-03-16,dispersion_cb_triggered_dec128,4.5477,0.06415,,,,,,,,,,
2026-04-08,,,,APA,1.0,overnight_gap_down_13.9pct,36.98,,,,,,
2026-04-23,,,,NOW,1.0,overnight_gap_down_15.3pct,87.25,,,,,,
2022-05-06,dispersion_cb_triggered_dec128,3.6551,0.039079,,,,,,,,,,
2022-05-09,dispersion_cb_triggered_dec128,4.0433,0.04479,,,,,,,,,,
2022-05-11,,,,U,1.0,overnight_gap_down_32.8pct,32.33,,,,,,
2022-05-11,dispersion_cb_triggered_dec128,4.4231,0.054599,,,,,,,,,,
2022-06-23,dispersion_cb_triggered_dec128,3.0595,0.048559,,,,,,,,,,
2022-09-23,,,,SAVA,1.0,overnight_gap_down_24.9pct,27.3893,,,,,,
2022-10-11,dispersion_cb_triggered_dec128,3.2934,0.041878,,,,,,,,,,
2022-11-10,dispersion_cb_triggered_dec128,6.1547,0.072275,,,,,,,,,,
2022-12-16,dispersion_cb_triggered_dec128,10.0,0.094682,,,,,,,,,,
2023-03-13,,,,KEY,1.0,overnight_gap_down_21.8pct,12.24,,,,,,
2023-03-13,dispersion_cb_triggered_dec128,10.0,0.184804,,,,,,,,,,
2023-05-04,dispersion_cb_triggered_dec128,3.2883,0.037367,,,,,,,,,,
2023-08-01,dispersion_cb_triggered_dec128,5.3177,0.040626,,,,,,,,,,
2023-10-10,dispersion_cb_triggered_dec128,9.3095,0.054101,,,,,,,,,,
2023-10-27,,,,ENPH,1.0,overnight_gap_down_14.5pct,82.19,,,,,,
2023-11-02,,,,RELY,1.0,overnight_gap_down_29.0pct,19.6,,,,,,
2023-11-07,,,,OLO,1.0,overnight_gap_down_14.5pct,5.0,,,,,,
2024-01-08,dispersion_cb_triggered_dec128,9.8498,0.071348,,,,,,,,,,
2024-02-05,,,,APD,1.0,overnight_gap_down_12.1pct,227.0,,,,,,
2024-02-07,dispersion_cb_triggered_dec128,3.7069,0.036198,,,,,,,,,,
2024-02-27,dispersion_cb_triggered_dec128,10.0,0.084353,,,,,,,,,,
2024-03-05,,,,KOS,1.0,overnight_gap_down_12.5pct,5.26,,,,,,
2024-04-26,dispersion_cb_triggered_dec128,8.7602,0.042575,,,,,,,,,,
2024-05-28,dispersion_cb_triggered_dec128,10.0,0.081064,,,,,,,,,,
2024-06-28,dispersion_cb_triggered_dec128,10.0,0.056015,,,,,,,,,,
2024-08-01,dispersion_cb_triggered_dec128,3.1308,0.04102,,,,,,,,,,
2024-10-08,dispersion_cb_triggered_dec128,4.6601,0.036902,,,,,,,,,,
2024-10-31,dispersion_cb_triggered_dec128,3.7378,0.043925,,,,,,,,,,
2024-11-06,dispersion_cb_triggered_dec128,5.7348,0.059484,,,,,,,,,,
2024-11-07,,,,YOU,1.0,overnight_gap_down_18.8pct,31.24,,,,,,
