date,level,event,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,z_score,today_dispersion,action,new_stop,note
2022-01-05,6.0,halt_triggered,-0.2257,100000.0,77432.47,,,,,,,,
2022-02-16,1.0,,,,,RBLX,overnight_gap_down_23.5pct,56.08,,,,,
2022-02-17,1.0,,,,,FSLY,overnight_gap_down_28.5pct,20.69,,,,,
2022-02-22,1.0,,,,,DWAC,overnight_gap_up_16.4pct,98.16,,,,,
2022-02-23,1.0,,,,,PRG,overnight_gap_down_14.9pct,30.42,,,,,
2022-02-24,1.0,,,,,ONEM,overnight_gap_down_16.1pct,7.7,,,,,
2022-03-02,1.0,,,,,ANF,overnight_gap_down_12.1pct,31.53,,,,,
2022-03-08,6.0,halt_triggered,-1.4917,100000.0,-49165.56,,,,,,,,
2022-03-09,1.0,,,,,FIGS,overnight_gap_up_13.5pct,15.93,,,,,
2022-03-09,1.0,,,,,MDB,overnight_gap_up_13.0pct,318.38,,,,,
2022-03-09,6.0,halt_resumed,-1.444,100000.0,-44400.5,,,,,,,,
2022-03-10,6.0,halt_triggered,-1.4542,100000.0,-45419.390000000014,,,,,,,,
2022-03-11,6.0,halt_resumed,-1.4524,100000.0,-45235.56,,,,,,,,
2022-03-14,6.0,halt_triggered,-1.4411,100000.0,-44105.17000000001,,,,,,,,
2022-03-15,6.0,halt_resumed,-1.4261,100000.0,-42614.47,,,,,,,,
2022-03-16,6.0,halt_triggered,-1.4878,100000.0,-48781.55000000002,,,,,,,,
2022-03-17,6.0,halt_resumed,-1.4936,100000.0,-49359.34,,,,,,,,
2022-03-18,6.0,halt_triggered,-1.5016,100000.0,-50157.94,,,,,,,,
2022-03-21,6.0,halt_resumed,-1.5016,100000.0,-50160.350000000006,,,,,,,,
2022-03-22,6.0,halt_triggered,-1.5078,100000.0,-50784.91,,,,,,,,
2022-03-29,6.0,halt_resumed,-1.4941,100000.0,-49411.09,,,,,,,,
2022-03-30,6.0,halt_triggered,-1.5058,100000.0,-50577.610000000015,,,,,,,,
2022-04-04,1.0,,,,,TWTR,overnight_gap_up_21.8pct,47.87,,,,,
2022-04-18,1.0,,,,,TGTX,overnight_gap_down_31.9pct,6.03,,,,,
2022-04-22,1.0,,,,,GPS,overnight_gap_down_19.2pct,11.55,,,,,
2022-04-28,1.0,,,,,MXL,overnight_gap_up_17.1pct,51.5,,,,,
2022-04-28,1.0,,,,,PBI,overnight_gap_up_12.1pct,4.83,,,,,
2022-04-29,1.0,,,,,AVTR,overnight_gap_up_12.2pct,33.43,,,,,
2022-04-29,1.0,,,,,PDD,overnight_gap_up_17.9pct,44.74,,,,,
2022-05-03,1.0,,,,,HLIT,overnight_gap_up_13.3pct,9.74,,,,,
2022-05-04,,dispersion_cb_triggered_dec128,,,,,,,3.2707,0.038728,,,
2022-05-09,,dispersion_cb_triggered_dec128,,,,,,,3.5749,0.047702,,,
2022-05-10,1.0,,,,,BHVN,overnight_gap_up_71.3pct,142.4,,,,,
2022-05-10,,dispersion_cb_triggered_dec128,,,,,,,4.5241,0.060689,,,
2022-05-13,1.0,,,,,PAYO,overnight_gap_up_22.2pct,4.4,,,,,
2022-05-19,1.0,,,,,EBS,overnight_gap_up_15.0pct,32.59,,,,,
2022-05-31,1.0,,,,,FRO,overnight_gap_down_13.0pct,9.94,,,,,
2022-06-01,6.0,halt_triggered,-2.113,100000.0,-111299.64,,,,,,,,
2022-06-02,1.0,,,,,CHWY,overnight_gap_up_15.3pct,27.09,,,,,
2022-06-02,6.0,halt_resumed,-2.1068,100000.0,-110682.26,,,,,,,,
2022-06-03,6.0,halt_triggered,-2.0987,100000.0,-109871.75,,,,,,,,
2022-06-06,6.0,halt_resumed,-2.1073,100000.0,-110731.58000000002,,,,,,,,
2022-06-07,6.0,halt_triggered,-2.1459,100000.0,-114594.64,,,,,,,,
2022-06-08,6.0,halt_resumed,-2.1487,100000.0,-114869.15,,,,,,,,
2022-06-09,6.0,halt_triggered,-2.179,100000.0,-117898.63,,,,,,,,
2022-07-05,,dispersion_cb_triggered_dec128,,,,,,,3.8404,0.046865,,,
2022-07-21,1.0,,,,,ONEM,overnight_gap_up_66.7pct,16.965,,,,,
2022-07-21,,dispersion_cb_triggered_dec128,,,,,,,4.4442,0.056687,,,
2022-07-28,1.0,,,,,CYH,overnight_gap_down_42.3pct,2.99,,,,,
2022-08-09,6.0,halt_triggered,-2.6033,100000.0,-160330.03,,,,,,,,
2022-08-10,6.0,halt_resumed,-2.5595,100000.0,-155954.24,,,,,,,,
