date,level,event,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,z_score,today_dispersion,action,new_stop
2022-01-06,6.0,halt_triggered,-0.274,100000.0,72601.23,,,,,,,
2022-01-25,1.0,,,,,TRQ,overnight_gap_up_15.1pct,17.38,,,,
2022-01-26,,dispersion_cb_triggered_dec128,,,,,,,5.3519,0.052815,,
2022-02-03,1.0,,,,,SLI,overnight_gap_down_18.0pct,5.96,,,,
2022-02-16,1.0,,,,,TOST,overnight_gap_down_18.4pct,22.95,,,,
2022-02-24,1.0,,,,,BKNG,overnight_gap_down_12.5pct,86.4644,,,,
2022-02-24,1.0,,,,,BMRN,overnight_gap_down_12.7pct,72.02,,,,
2022-02-24,,dispersion_cb_triggered_dec128,,,,,,,3.0654,0.05292,,
2022-03-08,6.0,halt_triggered,-1.291,100000.0,-29097.600000000006,,,,,,,
2022-03-09,6.0,halt_resumed,-1.2797,100000.0,-27973.740000000005,,,,,,,
2022-03-10,6.0,halt_triggered,-1.2898,100000.0,-28980.940000000002,,,,,,,
2022-03-11,6.0,halt_resumed,-1.2724,100000.0,-27239.740000000005,,,,,,,
2022-03-14,6.0,halt_triggered,-1.257,100000.0,-25695.15000000001,,,,,,,
2022-03-16,1.0,,,,,NTES,overnight_gap_up_18.1pct,87.65,,,,
2022-03-16,6.0,halt_resumed,-1.2187,100000.0,-21870.03,,,,,,,
2022-03-17,6.0,halt_triggered,-1.1906,100000.0,-19059.710000000006,,,,,,,
2022-04-19,1.0,,,,,XRAY,overnight_gap_down_13.7pct,42.03,,,,
2022-04-29,,dispersion_cb_triggered_dec128,,,,,,,6.0274,0.041132,,
2022-05-09,,dispersion_cb_triggered_dec128,,,,,,,3.5757,0.047192,,
2022-05-10,,dispersion_cb_triggered_dec128,,,,,,,4.088,0.057492,,
2022-05-17,6.0,halt_triggered,-1.5965,100000.0,-59653.55000000002,,,,,,,
2022-05-25,1.0,,,,,PLAB,overnight_gap_up_12.2pct,16.87,,,,
2022-05-27,1.0,,,,,IOVA,overnight_gap_down_48.4pct,7.8,,,,
2022-07-08,1.0,,,,,UPST,overnight_gap_down_20.5pct,26.83,,,,
2022-07-19,6.0,halt_triggered,-2.3107,100000.0,-131074.35,,,,,,,
2022-07-20,6.0,halt_resumed,-2.2952,100000.0,-129518.56,,,,,,,
2022-07-21,6.0,halt_triggered,-2.2865,100000.0,-128648.45000000001,,,,,,,
2022-07-22,6.0,halt_resumed,-2.2663,100000.0,-126632.56,,,,,,,
2022-07-25,6.0,halt_triggered,-2.2764,100000.0,-127641.38,,,,,,,
2022-07-26,6.0,halt_resumed,-2.2379,100000.0,-123789.08000000002,,,,,,,
2022-07-27,6.0,halt_triggered,-2.2345,100000.0,-123447.97,,,,,,,
2022-07-28,6.0,halt_resumed,-2.2453,100000.0,-124533.47,,,,,,,
2022-07-29,6.0,halt_triggered,-2.2861,100000.0,-128607.85,,,,,,,
2022-08-01,6.0,halt_resumed,-2.3052,100000.0,-130520.6,,,,,,,
2022-08-02,1.0,,,,,FTAI,overnight_gap_down_15.8pct,19.02,,,,
2022-08-02,6.0,halt_triggered,-2.3443,100000.0,-134425.15,,,,,,,
2022-08-03,6.0,halt_resumed,-2.3423,100000.0,-134230.56,,,,,,,
2022-08-04,6.0,halt_triggered,-2.3613,100000.0,-136130.97,,,,,,,
2022-08-05,6.0,halt_resumed,-2.3548,100000.0,-135480.75,,,,,,,
2022-08-08,6.0,halt_triggered,-2.2052,100000.0,-120519.72,,,,,,,
2022-08-09,1.0,,,,,NLSN,overnight_gap_up_21.2pct,27.53,,,,
2022-08-09,1.0,,,,,UPST,overnight_gap_down_12.5pct,28.24,,,,
2022-08-09,6.0,halt_resumed,-2.1828,100000.0,-118278.53,,,,,,,
2022-08-10,6.0,halt_triggered,-2.1597,100000.0,-115966.64000000001,,,,,,,
2022-08-12,1.0,,,,,OLO,overnight_gap_down_30.2pct,9.07,,,,
2022-08-15,1.0,,,,,TRQ,overnight_gap_down_17.5pct,21.66,,,,
2022-08-18,6.0,halt_resumed,-2.1626,100000.0,-116255.44,,,,,,,
2022-08-19,6.0,halt_triggered,-2.1552,100000.0,-115521.01000000001,,,,,,,
2022-08-22,6.0,halt_resumed,-2.1667,100000.0,-116668.66,,,,,,,
2022-08-23,6.0,halt_triggered,-2.1645,100000.0,-116452.0,,,,,,,
