date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,action,new_stop
2022-06-09,dispersion_cb_triggered_dec128,10.0,1.732546,,,,,,,,,
2022-07-06,halt_triggered,,,6.0,-0.2135,100000.0,78647.65,,,,,
2022-08-22,halt_resumed,,,6.0,-0.1873,100000.0,81273.07,,,,,
2022-09-13,dispersion_cb_triggered_dec128,3.9761,0.021623,,,,,,,,,
2022-10-07,halt_triggered,,,6.0,-0.2019,100000.0,79813.14,,,,,
2022-12-07,halt_triggered,,,6.0,-0.226,100000.0,77403.05,,,,,
2023-01-13,halt_resumed,,,6.0,-0.2035,100000.0,79649.44,,,,,
2023-01-16,halt_triggered,,,6.0,-0.2035,100000.0,79649.44,,,,,
2023-02-22,halt_resumed,,,6.0,-0.1441,100000.0,85591.8,,,,,
2023-03-09,dispersion_cb_triggered_dec128,3.6782,0.021703,,,,,,,,,
2023-03-13,dispersion_cb_triggered_dec128,3.2888,0.0255,,,,,,,,,
2023-05-25,dispersion_cb_triggered_dec128,6.1867,0.037675,,,,,,,,,
2023-07-18,dispersion_cb_triggered_dec128,4.1447,0.020619,,,,,,,,,
2023-07-20,dispersion_cb_triggered_dec128,4.0161,0.023691,,,,,,,,,
2023-10-02,dispersion_cb_triggered_dec128,3.6297,0.024467,,,,,,,,,
2023-12-14,dispersion_cb_triggered_dec128,3.7957,0.024864,,,,,,,,,
2024-02-02,dispersion_cb_triggered_dec128,5.2072,0.029824,,,,,,,,,
2024-04-19,dispersion_cb_triggered_dec128,3.2351,0.021192,,,,,,,,,
2024-05-01,dispersion_cb_triggered_dec128,3.11,0.026855,,,,,,,,,
2024-06-12,dispersion_cb_triggered_dec128,3.7772,0.020867,,,,,,,,,
2024-06-28,dispersion_cb_triggered_dec128,4.7703,0.028449,,,,,,,,,
2024-07-24,dispersion_cb_triggered_dec128,3.1757,0.033532,,,,,,,,,
2024-08-02,dispersion_cb_triggered_dec128,3.0927,0.039357,,,,,,,,,
2024-08-05,dispersion_cb_triggered_dec128,4.0883,0.052903,,,,,,,,,
2024-08-07,,,,1.0,,,,VXX,overnight_gap_down_12.8pct,61.43000030517578,,
2024-10-24,dispersion_cb_triggered_dec128,5.0323,0.030449,,,,,,,,,
2024-11-06,dispersion_cb_triggered_dec128,5.8698,0.045719,,,,,,,,,
2024-12-13,dispersion_cb_triggered_dec128,5.7708,0.032373,,,,,,,,,
2025-01-27,,,,1.0,,,,NVDA,overnight_gap_down_12.5pct,124.8,,
2025-01-27,dispersion_cb_triggered_dec128,7.3846,0.042205,,,,,,,,,
2025-03-10,dispersion_cb_triggered_dec128,3.6502,0.032675,,,,,,,,,
2025-04-03,,,,1.0,,,,NKE,overnight_gap_down_13.2pct,56.365,,
2025-04-03,dispersion_cb_triggered_dec128,6.4257,0.054485,,,,,,,,,
2025-04-04,,,,5.0,,,,GLD,vix_crisis_45.3,,tighten_stop,273.752
2025-04-04,,,,5.0,,,,HYG,vix_crisis_45.3,,tighten_stop,76.342
2025-04-04,,,,5.0,,,,XLV,vix_crisis_45.3,,tighten_stop,142.671
2025-04-04,,,,5.0,,,,KO,vix_crisis_45.3,,tighten_stop,69.521
2025-04-04,,,,5.0,,,,PEP,vix_crisis_45.3,,tighten_stop,148.599
2025-04-04,,,,5.0,,,,CVX,vix_crisis_45.3,,tighten_stop,160.0845
2025-04-04,,,,5.0,,,,LQD,vix_crisis_45.3,,tighten_stop,104.1295
2025-04-04,,,,5.0,,,,PG,vix_crisis_45.3,,tighten_stop,167.44699999999997
2025-04-04,,,,5.0,,,,UNH,vix_crisis_45.3,,tighten_stop,513.418
2025-04-04,,,,5.0,,,,ABBV,vix_crisis_45.3,,tighten_stop,205.827
2025-04-04,,,,5.0,,,,JPM,vix_crisis_45.3,,tighten_stop,238.5735
2025-04-04,,,,5.0,,,,HD,vix_crisis_45.3,,tighten_stop,352.34549999999996
2025-04-04,,,,5.0,,,,QQQ,vix_crisis_45.3,,tighten_stop,468.787
2025-04-04,,,,5.0,,,,MSFT,vix_crisis_45.3,,tighten_stop,375.402
2025-04-04,,,,5.0,,,,GDX,vix_crisis_45.3,,tighten_stop,43.671499999999995
2025-04-04,,,,5.0,,,,LMT,vix_crisis_45.3,,tighten_stop,432.04099999999994
2025-04-04,,,,5.0,,,,SLV,vix_crisis_45.3,,tighten_stop,29.83608
2025-04-04,,,,5.0,,,,GOOGL,vix_crisis_45.3,,tighten_stop,149.2165
2025-04-07,,,,5.0,,,,GLD,vix_crisis_47.0,,tighten_stop,273.752
2025-04-07,,,,5.0,,,,HYG,vix_crisis_47.0,,tighten_stop,76.342
2025-04-07,,,,5.0,,,,KO,vix_crisis_47.0,,tighten_stop,69.521
2025-04-07,,,,5.0,,,,LQD,vix_crisis_47.0,,tighten_stop,104.1295
2025-04-07,,,,5.0,,,,UNH,vix_crisis_47.0,,tighten_stop,513.418
2025-04-07,,,,5.0,,,,LMT,vix_crisis_47.0,,tighten_stop,432.04099999999994
2025-04-08,,,,5.0,,,,LQD,vix_crisis_52.3,,tighten_stop,104.1295
2025-04-08,,,,5.0,,,,AAPL,vix_crisis_52.3,,tighten_stop,178.14324
2025-04-08,,,,5.0,,,,GE,vix_crisis_52.3,,tighten_stop,167.95239999999998
2025-04-08,,,,5.0,,,,NVDA,vix_crisis_52.3,,tighten_stop,99.058495
2025-04-08,,,,5.0,,,,CAT,vix_crisis_52.3,,tighten_stop,276.634775
2025-04-08,,,,5.0,,,,AMD,vix_crisis_52.3,,tighten_stop,82.20559
2025-04-09,dispersion_cb_triggered_dec128,3.7425,0.060509,,,,,,,,,
2025-04-10,,,,5.0,,,,TLT,vix_crisis_40.7,,tighten_stop,84.4265
2025-04-10,,,,5.0,,,,XLE,vix_crisis_40.7,,tighten_stop,39.120999999999995
2025-04-10,,,,5.0,,,,SBUX,vix_crisis_40.7,,tighten_stop,84.24600000000001
2025-04-10,,,,5.0,,,,WMT,vix_crisis_40.7,,tighten_stop,85.11999999999999
2025-04-10,,,,5.0,,,,XLI,vix_crisis_40.7,,tighten_stop,120.422
2025-09-10,dispersion_cb_triggered_dec128,7.9728,0.048101,,,,,,,,,
2025-11-24,dispersion_cb_triggered_dec128,3.2048,0.0255,,,,,,,,,
2026-01-30,,,,1.0,,,,SLV,overnight_gap_down_15.4pct,89.33,,
2026-01-30,dispersion_cb_triggered_dec128,5.314,0.043123,,,,,,,,,
