Symbol,Company,Sector,added_date,removed_date
AAPL,Apple Inc.,Information Technology,,
ABNB,Airbnb,Consumer Discretionary,2021-12-20,
ADBE,Adobe Inc.,Information Technology,,
ADI,Analog Devices,Information Technology,,
ADP,Automatic Data Processing,Industrials,,
ADSK,Autodesk,Information Technology,,
AEP,American Electric Power,Utilities,2020-12-21,
ALNY,Alnylam Pharmaceuticals,Health Care,2025-12-22,
AMAT,Applied Materials,Information Technology,,
AMD,Advanced Micro Devices,Information Technology,,
AMGN,Amgen,Health Care,,
AMZN,Amazon,Consumer Discretionary,,
APP,AppLovin,Information Technology,2024-11-18,
ARM,Arm Holdings,Information Technology,2024-06-24,
ASML,ASML Holding,Information Technology,,
AVGO,Broadcom,Information Technology,,
AXON,Axon Enterprise,Industrials,2024-12-23,
BKNG,Booking Holdings,Consumer Discretionary,,
BKR,Baker Hughes,Energy,2022-12-19,
CCEP,Coca-Cola Europacific Partners,Consumer Staples,2023-12-18,
CDNS,Cadence Design Systems,Information Technology,,
CEG,Constellation Energy,Utilities,2022-02-02,
CHTR,Charter Communications,Communication Services,,
CMCSA,Comcast,Communication Services,,
COST,Costco,Consumer Staples,,
CPRT,Copart,Consumer Discretionary,,
CRWD,CrowdStrike,Information Technology,2021-08-26,
CSCO,Cisco,Information Technology,,
CSGP,CoStar Group,Real Estate,,2020-07-20
CSGP,CoStar Group,Real Estate,2022-12-19,
CSX,CSX Corporation,Industrials,,
CTAS,Cintas,Industrials,,
CTSH,Cognizant,Information Technology,,
DASH,DoorDash,Consumer Discretionary,2023-12-18,
DDOG,Datadog,Information Technology,2021-12-20,
DXCM,DexCom,Health Care,2020-04-20,
EA,Electronic Arts,Communication Services,,
EXC,Exelon,Utilities,,
FANG,Diamondback Energy,Energy,2022-12-19,
FAST,Fastenal,Industrials,,
FER,Ferrovial,Industrials,2025-12-22,
FTNT,Fortinet,Information Technology,2021-12-20,
GEHC,GE HealthCare,Health Care,2023-06-07,
GILD,Gilead Sciences,Health Care,,
GOOG,Alphabet Inc. (Class C),Communication Services,,
GOOGL,Alphabet Inc. (Class A),Communication Services,,
HON,Honeywell,Industrials,2021-07-21,
