ticket,cls,verdict,hits,missing,bad_paths,desc
S6-B1500a,CLOSED,SYMBOL_PRESENT,event_recency_bars;smc_breaker_block_bullish,ob_events.tail(20,," HIGH | smcbreakerblockbullish fires 124/124 bars (AAPL, 2024 H1). It is an OR over obevents.tail(20) with NO "
S6-B1500b,CLOSED,SYMBOL_PRESENT,ob_df;swing_length,,, HIGH | Refactor sandbox to expose obdf so tail(N) / break-margin / recency variants derive from ONE producer 
S6-B1500c,CLOSED,NO_CLAIM,,,," HIGH | Instrumented pass recording, per firing bar: OB event age, break distance (close-bot)/bot, event count"
S6-B1500d,CLOSED,NO_CLAIM,,,," CLOSED | Holdout n MEASURED = 147 (full-period 352). The ""n=356"" carried earlier was wrong. |"
S6-B1500e,CLOSED,NO_CLAIM,,,, MED | Selection-noise floor: 0.369 (B1467) was measured for best-of-26-exits. A producer-grid search is a far
S6-B1500f,CLOSED,SYMBOL_MISSING,,output_batch_A_150/trade_exit_detail.csv,," LOW | outputbatchA150/tradeexitdetail.csv carries 1 exit method, not 26 — it is not a cube and cannot support"
S6-B1501a,CLOSED,SYMBOL_PRESENT,age_bars;break_pct,,," HIGH | DERIVED levels, replacing the invented ones: breakpct MAX (proximity cap, candidates 1/2/3pct) and age"
S6-B1501b,CLOSED,NO_CLAIM,,,," HIGH | Scale the probe to CHECKLIST #154 minimum (>=25 tickers, >=4 dates, >=12 months) before any level is f"
S6-B1501c,CLOSED,NO_CLAIM,,,," HIGH | Post-tightening n forecast: if the proximity cap holds at ~3 fires/ticker/6mo, R5's 352 fires collapse"
S6-B1502a,CLOSED,NO_CLAIM,,,," HIGH | (carried) Band misclassification - holdout n=147 puts this strategy MID-BAND, not in the n>300 band of"
S6-B1502b,CLOSED,SYMBOL_PRESENT,swing_length,,," MED | Remaining in-scope knob is swinglength - it can ADD fires, so it is not a subset and needs resimulation"
S6-B1502c,CLOSED,NO_CLAIM,,,, MED | Owner decision: adding NEW gates (e.g. a proximity cap) is out of current scope. Confirm whether Phase 
S6-B1503a,DONE,SYMBOL_PRESENT,_smc.ob,close_mitigation=True,," HIGH | P2 closemitigation=True - existing bool on smc.ob(), READ at smc.py:380. Strictly fewer mitigations =>"
S6-B1503b,DONE,SYMBOL_PRESENT,swing_length,,," HIGH | P1 swinglength (current 20, library default 50) - candidates 10/20/30/50. Changes swing detection, so "
S6-B1503c,DONE,SYMBOL_PRESENT,compute_ema_sma;price_above_ema_50,feedback_ask_before_adding_gates_vs_threshold_only,, HIGH | P6 EMA span - computeemasma emits only spans 9/21/20/50/200 (READ technical.py:750). priceaboveema50 E
S6-B1503d,DONE,NO_CLAIM,,,," MED | Re-run the full grid as P1 x P2 x P3 x P4 x P6 once the above land, and restate the verdict WITH its de"
S6-B1504a,CLOSED,SYMBOL_PRESENT,info_cache.json;market_cap,,," MED | DISCLOSED LIMITATION: only 249 of 503 T1a actives carry marketcap in infocache.json, so this is the top"
S6-B1504b,CLOSED,NO_CLAIM,,,, MED | Selection is by market cap as of today for a 2022-2026 window - survivorship-flavoured. Acceptable for 
S6-B1505a,CLOSED,NO_CLAIM,,,," REVISED | Universe decision is now 3-way with a stated default: match R5 at 381 (comparable), SP50 50 (unusab"
S6-B1505b,OPEN,SYMBOL_PRESENT,swing_length,,, reason: REASON-NOT-RECORDED (pre-B1769) HIGH | OWNER DECISION: approve engine resimulation for P1 swinglength
S6-B1505c,CLOSED,SYMBOL_PRESENT,tighten_breaker_block.py,,, MED | Add a retention-ratio preflight to tightenbreakerblock.py implementing L365 mechanically rather than as
S6-B1506a,CLOSED,NO_CLAIM,,,," HIGH | Complete the one-ticker engine timing, then re-cost P1 x P2 (8 producer configs) at 50 / 161 / 503 tic"
S6-B1506b,CLOSED,SYMBOL_PRESENT,producer_variant_table.py,,, MED | Extend SPECS in producervarianttable.py as each new strategy enters optimisation - every row must cite 
S6-B1507a,CLOSED,NO_CLAIM,,,, HIGH | OWNER DECISION: add a break-margin parameter to P5? NEW-GATE class. Instrumentation says it is the cle
S6-B1507b,CLOSED,SYMBOL_PRESENT,compute_ema_sma,,," DONE - OWNER DIRECTIVE 2026-08-18 | Spans 100 and 150 ADDED to computeemasma (technical.py:750, pair (100,150"
S6-B1507c,CLOSED,NO_CLAIM,,,, MED | P6 band widened 2 -> 5 raises the factorial 320 -> 800 and the resim subspace 280 -> 760. Re-cost S6-B1
S6-B1508a,CLOSED,NO_CLAIM,,,," REVISED | The 10-ticker slope run is still needed, but its purpose changes: not just wall-clock scaling, but "
S6-B1508b,CLOSED,NO_CLAIM,,,, HIGH | P5 is unusable at n=352. It becomes testable only if the fire base grows - i.e. it is an ARGUMENT FOR 
S6-B1509a,CLOSED,SYMBOL_PRESENT,calmar;deflated_sharpe;evaluate;max_drawdown,roster_core.evaluate,," HIGH | maxdrawdown, calmar, deflatedsharpe are computed NOWHERE in the roster path (L374). CLAUDE.md demoted "
S6-B1509b,CLOSED,NO_CLAIM,,,, MED | CI-lo < 0 on the BASELINE means no tightening of a subset can rescue it - a subset cannot have a tighte
S6-B1510a,CLOSED,SYMBOL_PRESENT,evidence,,, MED | Backfill a SPECS entry (formula + Table A) for each strategy as it enters optimisation. Every evidence 
S6-B1512a,DONE,NO_CLAIM,,,, HIGH | Verify the 8-vs-6 mechanism before any resim is costed. Candidate-cap vs portfolio-cap vs sizing. If c
S6-B1513a,DONE,NO_CLAIM,,,," MED | Establish WHY R5 ran 381 of 503 T1a actives - PIT-active filtering, liquidity floor, or cache coverage."
S6-B1514a,CLOSED,NO_CLAIM,,,," HIGH | Report rung 5's measured slope + entry ratio, re-project rungs 10-381, and get owner go/no-go before r"
S6-B1515a,DONE,NO_CLAIM,,,," HIGH | Ladder EXIT PLAN. If rung 5 confirms sublinear scaling, skip intermediate rungs and go 5 -> 381 direct"
S6-B1516a,CLOSED,NO_CLAIM,,,, HIGH | OWNER DECISION: continue the ladder to 10/20/50/100/200/381. Wall-clock says it is cheap (~42 min/rung
S6-B1516b,CLOSED,NO_CLAIM,,,, HIGH | No rung's gate verdict may be quoted as a strategy result until the entry rate converges to R5's. Pin 
S6-B1517a,CLOSED,NO_CLAIM,,,," HIGH | MANDATORY PRE-LAUNCH STEP, not prose: every long-run launch arms a /15 CronCreate check-and-push + com"
S6-B1517b,CLOSED,NO_CLAIM,,,, HIGH | No rung's PASS may be reported as a strategy result until entries/ticker converges to R5's 0.9239. At 
S6-B1517c,CLOSED,NO_CLAIM,,,, MED | Only 6 of 200 combinations were gradable at 5 tickers. Report gradability per rung as a first-class met
S6-B1518a,BLOCKED,SYMBOL_PRESENT,SMC_SWING_LENGTH;config.py;swing_length,EMA_PAIRS,, reason: REASON-NOT-RECORDED (pre-B1769) BLOCKER | OWNER APPROVAL NEEDED - production code change. Plumb P1/P6
S6-B1518b,DONE,SYMBOL_PRESENT,SMC_SWING_LENGTH,,," HIGH | Pin test: set SMCSWINGLENGTH to a non-default, run the engine on 1 ticker, assert the fire set CHANGES"
S6-B1518c,DONE,NO_CLAIM,,,," MED | Audit every other SPEC parameter the same way before its grid is costed - does it reach the engine, or "
S6-B1520a,DEFERRED,NO_CLAIM,,,, reason: REASON-NOT-RECORDED (pre-B1769) PARTIAL | Engine-level plumbing PROVEN (76 vs 95 entries). Strategy-l
S6-B1520b,DROPPED,NO_CLAIM,,,, reason: REASON-NOT-RECORDED (pre-B1769) SUPERSEDED | Per-strategy sweep replaced by the harvest-all design. |
S6-B1522a,DONE,NO_CLAIM,,,," HIGH | Add to plan SS9 as item 21: before any differential test, assert the SUBJECT OCCURS in the window - a "
S6-B1525a,CLOSED,NO_CLAIM,,,," CLOSED | P1 = 4 live values. Factorial 4,000, 20 engine runs, unchanged. |"
S6-B1526a,DONE,NO_CLAIM,,,, CLOSED | Cliff SHARP; band NOT extended; sweep stays 20 engine runs. |
