ticket,batch,cls,born_done,in_window,sha,n_files,n_code,claims_code,claims_analysis,has_test,verdict,desc
S6-B1500a,1500,DONE,True,False,41ba54cc5,5,1,False,True,False,CODE_BACKED," high | smcbreakerblockbullish fires 124/124 bars (aapl, 2024 h1). it is an or over obevents.tail(20) with no recency fi"
S6-B1500b,1500,DONE,True,False,41ba54cc5,5,1,True,False,False,CODE_BACKED, high | refactor sandbox to expose obdf so tail(n) / break-margin / recency variants derive from one producer run per sw
S6-B1500c,1500,DONE,True,False,41ba54cc5,5,1,False,True,False,CODE_BACKED," high | instrumented pass recording, per firing bar: ob event age, break distance (close-bot)/bot, event count, qualifyi"
S6-B1500d,1500,DONE,True,False,41ba54cc5,5,1,False,True,False,CODE_BACKED," closed | holdout n measured = 147 (full-period 352). the ""n=356"" carried earlier was wrong. |"
S6-B1500e,1500,DONE,True,False,41ba54cc5,5,1,False,True,False,CODE_BACKED, med | selection-noise floor: 0.369 (b1467) was measured for best-of-26-exits. a producer-grid search is a far wider fam
S6-B1500f,1500,DONE,True,False,41ba54cc5,5,1,False,False,False,CODE_BACKED," low | outputbatcha150/tradeexitdetail.csv carries 1 exit method, not 26 — it is not a cube and cannot support exit re-s"
S6-B1501a,1501,DONE,True,False,d2c0e83e2,9,1,False,False,False,CODE_BACKED," high | derived levels, replacing the invented ones: breakpct max (proximity cap, candidates 1/2/3pct) and agebars max ("
S6-B1501b,1501,DONE,True,False,d2c0e83e2,9,1,True,True,False,CODE_BACKED," high | scale the probe to checklist #154 minimum (>=25 tickers, >=4 dates, >=12 months) before any level is fixed. meas"
S6-B1501c,1501,DONE,True,False,d2c0e83e2,9,1,False,False,False,CODE_BACKED," high | post-tightening n forecast: if the proximity cap holds at ~3 fires/ticker/6mo, r5's 352 fires collapse hard. che"
S6-B1502a,1502,DONE,True,False,1472344f0,5,1,False,True,False,CODE_BACKED," high | (carried) band misclassification - holdout n=147 puts this strategy mid-band, not in the n>300 band of 41. re-de"
S6-B1502b,1502,DONE,True,False,1472344f0,5,1,False,False,False,CODE_BACKED," med | remaining in-scope knob is swinglength - it can add fires, so it is not a subset and needs resimulation (~50 s/ti"
S6-B1502c,1502,DONE,True,False,1472344f0,5,1,False,False,False,CODE_BACKED, med | owner decision: adding new gates (e.g. a proximity cap) is out of current scope. confirm whether phase 2 admits g
S6-B1503a,1503,DONE,True,False,99328bebd,4,0,False,False,False,ANALYSIS_ONLY," high | p2 closemitigation=true - existing bool on smc.ob(), read at smc.py:380. strictly fewer mitigations => strictly "
S6-B1503b,1503,DONE,True,False,99328bebd,4,0,False,False,False,ANALYSIS_ONLY," high | p1 swinglength (current 20, library default 50) - candidates 10/20/30/50. changes swing detection, so it can add"
S6-B1503c,1503,DONE,True,False,99328bebd,4,0,False,False,False,ANALYSIS_ONLY, high | p6 ema span - computeemasma emits only spans 9/21/20/50/200 (read technical.py:750). priceaboveema50 exists and 
S6-B1503d,1503,DONE,True,False,99328bebd,4,0,False,False,False,ANALYSIS_ONLY," med | re-run the full grid as p1 x p2 x p3 x p4 x p6 once the above land, and restate the verdict with its denominator "
S6-B1504a,1504,DONE,True,False,96444b812,8,2,False,True,True,CODE_BACKED," med | disclosed limitation: only 249 of 503 t1a actives carry marketcap in infocache.json, so this is the top 50 of 249"
S6-B1504b,1504,DONE,True,False,96444b812,8,2,False,True,True,CODE_BACKED, med | selection is by market cap as of today for a 2022-2026 window - survivorship-flavoured. acceptable for parameter 
S6-B1505a,1505,DONE,True,False,e814e5cf9,6,1,True,False,False,CODE_BACKED," revised | universe decision is now 3-way with a stated default: match r5 at 381 (comparable), sp50 50 (unusable - 31/35"
S6-B1505c,1505,DONE,True,False,e814e5cf9,6,1,False,False,False,CODE_BACKED, med | add a retention-ratio preflight to tightenbreakerblock.py implementing l365 mechanically rather than as prose. |
S6-B1506a,1506,DONE,True,False,b56e4b919,5,1,False,True,False,CODE_BACKED," high | complete the one-ticker engine timing, then re-cost p1 x p2 (8 producer configs) at 50 / 161 / 503 tickers from "
S6-B1506b,1506,DONE,True,False,b56e4b919,5,1,False,False,False,CODE_BACKED, med | extend specs in producervarianttable.py as each new strategy enters optimisation - every row must cite a source l
S6-B1507a,1507,DONE,True,False,de0665682,5,1,False,True,False,CODE_BACKED, high | owner decision: add a break-margin parameter to p5? new-gate class. instrumentation says it is the cleanest disc
S6-B1507b,1507,DONE,True,False,de0665682,5,1,True,True,False,CODE_BACKED," done - owner directive 2026-08-18 | spans 100 and 150 added to computeemasma (technical.py:750, pair (100,150)). open s"
S6-B1507c,1507,DONE,True,False,de0665682,5,1,False,False,False,CODE_BACKED, med | p6 band widened 2 -> 5 raises the factorial 320 -> 800 and the resim subspace 280 -> 760. re-cost s6-b1506a again
S6-B1508a,1508,DONE,True,False,68725585b,7,2,False,False,False,CODE_BACKED," revised | the 10-ticker slope run is still needed, but its purpose changes: not just wall-clock scaling, but measuring "
S6-B1508b,1508,DONE,True,False,68725585b,7,2,False,False,False,CODE_BACKED, high | p5 is unusable at n=352. it becomes testable only if the fire base grows - i.e. it is an argument for the larger
S6-B1509a,1509,DONE,True,False,092e8d336,7,2,True,True,False,CODE_BACKED," high | maxdrawdown, calmar, deflatedsharpe are computed nowhere in the roster path (l374). claude.md demoted all three "
S6-B1509b,1509,DONE,True,False,092e8d336,7,2,False,False,False,CODE_BACKED, med | ci-lo < 0 on the baseline means no tightening of a subset can rescue it - a subset cannot have a tighter interval
S6-B1510a,1510,DONE,True,False,8cf1326ee,7,2,False,False,True,CODE_BACKED, med | backfill a specs entry (formula + table a) for each strategy as it enters optimisation. every evidence field must
S6-B1512a,1512,DONE,True,False,b3792167a,3,0,False,True,False,ANALYSIS_ONLY," high | verify the 8-vs-6 mechanism before any resim is costed. candidate-cap vs portfolio-cap vs sizing. if confirmed, "
S6-B1513a,1513,DONE,True,False,86aad6bd4,3,0,False,True,False,ANALYSIS_ONLY," med | establish why r5 ran 381 of 503 t1a actives - pit-active filtering, liquidity floor, or cache coverage. needed be"
S6-B1514a,1514,DONE,True,False,8d979d146,4,1,False,True,False,CODE_BACKED," high | report rung 5's measured slope + entry ratio, re-project rungs 10-381, and get owner go/no-go before rung 10. ph"
S6-B1515a,1515,DONE,True,False,40c5832a6,3,0,False,True,False,ANALYSIS_ONLY," high | ladder exit plan. if rung 5 confirms sublinear scaling, skip intermediate rungs and go 5 -> 381 directly. owner "
S6-B1516a,1516,DONE,True,False,531bafd1c,5,1,False,False,False,CODE_BACKED," high | owner decision: continue the ladder to 10/20/50/100/200/381. wall-clock says it is cheap (~42 min/rung, ~5 h for"
S6-B1516b,1516,DONE,True,False,531bafd1c,5,1,False,True,False,CODE_BACKED, high | no rung's gate verdict may be quoted as a strategy result until the entry rate converges to r5's. pin this cavea
S6-B1517a,1517,DONE,True,False,0ad05eed6,5,1,False,False,False,CODE_BACKED," high | mandatory pre-launch step, not prose: every long-run launch arms a /15 croncreate check-and-push + completion pu"
S6-B1517b,1517,DONE,True,False,0ad05eed6,5,1,False,True,False,CODE_BACKED, high | no rung's pass may be reported as a strategy result until entries/ticker converges to r5's 0.9239. at rung 5 the
S6-B1517c,1517,DONE,True,False,0ad05eed6,5,1,False,False,False,CODE_BACKED, med | only 6 of 200 combinations were gradable at 5 tickers. report gradability per rung as a first-class metric - it d
