strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed,gate_2_bonferroni_value,gate_2_bonferroni_passed
52wh_break_retest,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,
adx_initiation,bear,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
adx_initiation,bear,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,9,9,False,,
adx_initiation,bear,Energy,INSUFFICIENT_SAMPLE,0,6,6,False,,
adx_initiation,bear,Financials,INSUFFICIENT_SAMPLE,0,7,7,False,,
adx_initiation,bear,Health Care,INSUFFICIENT_SAMPLE,0,21,21,False,,
adx_initiation,bear,Industrials,INSUFFICIENT_SAMPLE,0,5,5,False,,
adx_initiation,bear,Information Technology,INSUFFICIENT_SAMPLE,0,7,7,False,,
adx_initiation,bear,Materials,INSUFFICIENT_SAMPLE,0,2,2,False,,
adx_initiation,bear,Unknown,INSUFFICIENT_SAMPLE,0,7,7,False,,
adx_initiation,bear,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,
adx_initiation,bull,Communication Services,INSUFFICIENT_SAMPLE,0,5,5,False,,
adx_initiation,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,4,4,False,,
adx_initiation,bull,Energy,INSUFFICIENT_SAMPLE,0,11,11,False,,
adx_initiation,bull,Financials,INSUFFICIENT_SAMPLE,0,11,11,False,,
adx_initiation,bull,Health Care,INSUFFICIENT_SAMPLE,0,24,24,False,,
adx_initiation,bull,Industrials,INSUFFICIENT_SAMPLE,0,12,12,False,,
adx_initiation,bull,Information Technology,INSUFFICIENT_SAMPLE,0,19,19,False,,
adx_initiation,bull,Materials,INSUFFICIENT_SAMPLE,0,5,5,False,,
adx_initiation,bull,Unknown,INSUFFICIENT_SAMPLE,0,7,7,False,,
adx_initiation,bull,Utilities,INSUFFICIENT_SAMPLE,0,2,2,False,,
adx_initiation,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,3,3,False,,
adx_initiation,neutral,Health Care,INSUFFICIENT_SAMPLE,0,8,8,False,,
adx_initiation,neutral,Industrials,INSUFFICIENT_SAMPLE,0,2,2,False,,
adx_initiation,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False,,
adx_initiation,neutral,Materials,INSUFFICIENT_SAMPLE,0,4,4,False,,
adx_initiation,neutral,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,bear,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,bear,Consumer Staples,INSUFFICIENT_SAMPLE,0,2,2,False,,
avwap_252_breakout,bear,Energy,INSUFFICIENT_SAMPLE,0,3,3,False,,
avwap_252_breakout,bear,Health Care,INSUFFICIENT_SAMPLE,0,4,4,False,,
avwap_252_breakout,bear,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,bear,Information Technology,INSUFFICIENT_SAMPLE,0,4,4,False,,
avwap_252_breakout,bear,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,bull,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False,,
avwap_252_breakout,bull,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,bull,Energy,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,bull,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False,,
avwap_252_breakout,bull,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
avwap_252_breakout,neutral,Energy,INSUFFICIENT_SAMPLE,0,1,1,False,,
