date,event,z_score,today_dispersion,ticker,level,reason,exit_price,dd_from_peak,rolling_peak_equity,current_equity,action,new_stop
2022-05-09,dispersion_cb_triggered_dec128,4.5882,0.044777,,,,,,,,,
2022-05-10,dispersion_cb_triggered_dec128,5.3724,0.056903,,,,,,,,,
2022-07-05,dispersion_cb_triggered_dec128,3.2441,0.04493,,,,,,,,,
2022-07-21,dispersion_cb_triggered_dec128,4.6698,0.056937,,,,,,,,,
2022-10-24,,,,TCOM,1.0,overnight_gap_down_13.0pct,20.83,,,,,
2022-11-03,dispersion_cb_triggered_dec128,4.4668,0.043228,,,,,,,,,
2022-11-10,dispersion_cb_triggered_dec128,3.0854,0.048978,,,,,,,,,
2023-02-02,dispersion_cb_triggered_dec128,3.099,0.035021,,,,,,,,,
2023-03-09,dispersion_cb_triggered_dec128,5.1312,0.04859,,,,,,,,,
2023-03-10,dispersion_cb_triggered_dec128,4.7313,0.046812,,,,,,,,,
2023-03-13,dispersion_cb_triggered_dec128,6.7867,0.056262,,,,,,,,,
2023-03-14,dispersion_cb_triggered_dec128,4.5256,0.049915,,,,,,,,,
2023-03-15,dispersion_cb_triggered_dec128,4.8363,0.05043,,,,,,,,,
2023-03-16,dispersion_cb_triggered_dec128,4.5778,0.049588,,,,,,,,,
2023-03-17,dispersion_cb_triggered_dec128,4.4439,0.046978,,,,,,,,,
2023-03-20,dispersion_cb_triggered_dec128,5.5805,0.048235,,,,,,,,,
2023-03-21,dispersion_cb_triggered_dec128,6.6514,0.051095,,,,,,,,,
2023-03-22,dispersion_cb_triggered_dec128,5.4436,0.04654,,,,,,,,,
2023-03-23,dispersion_cb_triggered_dec128,5.9963,0.049044,,,,,,,,,
2023-03-24,dispersion_cb_triggered_dec128,5.7736,0.04775,,,,,,,,,
2023-03-27,dispersion_cb_triggered_dec128,5.8334,0.047925,,,,,,,,,
2023-03-28,dispersion_cb_triggered_dec128,5.8478,0.047884,,,,,,,,,
2023-03-29,dispersion_cb_triggered_dec128,5.9245,0.048391,,,,,,,,,
2023-03-30,dispersion_cb_triggered_dec128,5.9274,0.048096,,,,,,,,,
2023-03-31,dispersion_cb_triggered_dec128,6.2133,0.04915,,,,,,,,,
2023-04-03,dispersion_cb_triggered_dec128,7.2719,0.053969,,,,,,,,,
2023-04-04,dispersion_cb_triggered_dec128,5.2914,0.048536,,,,,,,,,
2023-04-05,dispersion_cb_triggered_dec128,5.4816,0.048615,,,,,,,,,
2023-04-06,dispersion_cb_triggered_dec128,5.1432,0.046704,,,,,,,,,
2023-04-07,dispersion_cb_triggered_dec128,5.1432,0.046704,,,,,,,,,
2023-04-10,dispersion_cb_triggered_dec128,5.4661,0.047799,,,,,,,,,
2023-04-11,dispersion_cb_triggered_dec128,6.1711,0.051748,,,,,,,,,
2023-04-12,dispersion_cb_triggered_dec128,6.8773,0.04669,,,,,,,,,
2023-04-13,dispersion_cb_triggered_dec128,7.2246,0.048352,,,,,,,,,
2023-04-14,dispersion_cb_triggered_dec128,8.573,0.052137,,,,,,,,,
2023-04-17,dispersion_cb_triggered_dec128,6.7983,0.049182,,,,,,,,,
2023-04-18,dispersion_cb_triggered_dec128,6.4557,0.047754,,,,,,,,,
2023-04-19,dispersion_cb_triggered_dec128,6.487,0.047372,,,,,,,,,
2023-04-20,dispersion_cb_triggered_dec128,6.7548,0.047586,,,,,,,,,
2023-04-21,dispersion_cb_triggered_dec128,6.4342,0.047111,,,,,,,,,
2023-04-24,dispersion_cb_triggered_dec128,6.5193,0.047383,,,,,,,,,
2023-04-25,dispersion_cb_triggered_dec128,6.769,0.047669,,,,,,,,,
2023-04-26,dispersion_cb_triggered_dec128,6.2679,0.046825,,,,,,,,,
2023-04-27,dispersion_cb_triggered_dec128,6.7136,0.048844,,,,,,,,,
2023-04-28,dispersion_cb_triggered_dec128,7.5798,0.051524,,,,,,,,,
2023-05-01,dispersion_cb_triggered_dec128,7.1526,0.050622,,,,,,,,,
2023-05-02,dispersion_cb_triggered_dec128,7.0505,0.051783,,,,,,,,,
2023-05-03,dispersion_cb_triggered_dec128,6.813,0.049984,,,,,,,,,
2023-05-04,dispersion_cb_triggered_dec128,7.4131,0.052597,,,,,,,,,
2023-05-05,dispersion_cb_triggered_dec128,7.3609,0.057094,,,,,,,,,
2023-05-08,dispersion_cb_triggered_dec128,6.0238,0.054523,,,,,,,,,
2023-05-09,dispersion_cb_triggered_dec128,4.888,0.05052,,,,,,,,,
2023-05-10,dispersion_cb_triggered_dec128,6.3236,0.057774,,,,,,,,,
2023-05-11,dispersion_cb_triggered_dec128,3.9567,0.049104,,,,,,,,,
2023-05-12,dispersion_cb_triggered_dec128,4.3486,0.050784,,,,,,,,,
2023-05-15,dispersion_cb_triggered_dec128,4.6964,0.052469,,,,,,,,,
2023-05-16,dispersion_cb_triggered_dec128,3.5065,0.045534,,,,,,,,,
2023-05-17,dispersion_cb_triggered_dec128,4.7347,0.053096,,,,,,,,,
2023-05-18,dispersion_cb_triggered_dec128,4.3658,0.050966,,,,,,,,,
2023-05-19,dispersion_cb_triggered_dec128,4.3715,0.049965,,,,,,,,,
2023-05-22,dispersion_cb_triggered_dec128,5.3398,0.055043,,,,,,,,,
2023-05-23,dispersion_cb_triggered_dec128,4.2319,0.049386,,,,,,,,,
2023-05-24,dispersion_cb_triggered_dec128,3.734,0.046187,,,,,,,,,
2023-05-25,dispersion_cb_triggered_dec128,4.9551,0.052726,,,,,,,,,
2023-05-26,dispersion_cb_triggered_dec128,4.2327,0.048466,,,,,,,,,
2023-05-29,dispersion_cb_triggered_dec128,4.2327,0.048466,,,,,,,,,
2023-05-30,dispersion_cb_triggered_dec128,4.4602,0.050075,,,,,,,,,
2023-05-31,dispersion_cb_triggered_dec128,4.1016,0.049291,,,,,,,,,
2023-06-01,dispersion_cb_triggered_dec128,4.9532,0.052942,,,,,,,,,
2023-06-02,dispersion_cb_triggered_dec128,4.6632,0.052202,,,,,,,,,
2023-06-05,dispersion_cb_triggered_dec128,3.8373,0.047122,,,,,,,,,
2023-06-06,dispersion_cb_triggered_dec128,5.3778,0.053042,,,,,,,,,
2023-06-07,dispersion_cb_triggered_dec128,4.9744,0.050403,,,,,,,,,
2023-06-08,dispersion_cb_triggered_dec128,4.6564,0.048737,,,,,,,,,
2023-06-09,dispersion_cb_triggered_dec128,5.1318,0.04628,,,,,,,,,
2023-06-12,dispersion_cb_triggered_dec128,5.5972,0.049599,,,,,,,,,
2023-06-13,dispersion_cb_triggered_dec128,5.5978,0.0504,,,,,,,,,
2023-06-14,dispersion_cb_triggered_dec128,5.0158,0.046919,,,,,,,,,
2023-06-15,dispersion_cb_triggered_dec128,5.4196,0.047775,,,,,,,,,
2023-06-16,dispersion_cb_triggered_dec128,5.1652,0.04684,,,,,,,,,
2023-06-19,dispersion_cb_triggered_dec128,5.1652,0.04684,,,,,,,,,
2023-06-20,dispersion_cb_triggered_dec128,5.111,0.047189,,,,,,,,,
2023-06-21,dispersion_cb_triggered_dec128,5.0399,0.046642,,,,,,,,,
2023-06-22,dispersion_cb_triggered_dec128,6.1661,0.047785,,,,,,,,,
2023-06-23,dispersion_cb_triggered_dec128,5.7302,0.046296,,,,,,,,,
