strategy_name,direction,category,status,regime_affinity
52w_high_breakout,dual,unknown,ACTIVE,"bull,neutral"
52w_high_breakout_pullback_long,long,unknown,ACTIVE,all_regimes
52w_high_breakout_with_smart_money_long,long,unknown,ACTIVE,all_regimes
52w_high_breakout_with_smart_money_vol_below_long,long,unknown,ACTIVE,all_regimes
52w_low_breakdown,dual,unknown,ACTIVE,"bear,crisis,neutral"
52w_low_breakdown_pullback_short,short,unknown,ACTIVE,all_regimes
52wh_break_retest,dual,unknown,ACTIVE,all_regimes
52wl_break_retest_short,short,unknown,ACTIVE,all_regimes
activist_13d_long,long,unknown,ACTIVE,all_regimes
adx_initiation,dual,unknown,ACTIVE,bear
avwap_20high_rejection_short,short,unknown,ACTIVE,"bear,crisis,neutral"
avwap_252_breakout,dual,unknown,ACTIVE,"bear,neutral"
avwap_50_reclaim,dual,unknown,ACTIVE,all_regimes
awesome_oscillator,dual,unknown,ACTIVE,bear
bb_squeeze_volume,dual,unknown,ACTIVE,all_regimes
bollinger_lower,dual,unknown,ACTIVE,all_regimes
bollinger_tight,dual,unknown,ACTIVE,bull
bollinger_tight_with_smart_money_long,long,unknown,ACTIVE,all_regimes
bollinger_upper_short,short,unknown,ACTIVE,"bear,crisis,neutral"
break_retest_confluence,dual,unknown,ACTIVE,all_regimes
break_retest_volume,dual,unknown,ACTIVE,all_regimes
bullish_engulfing_support,dual,unknown,ACTIVE,all_regimes
camarilla_r4_breakout,dual,unknown,ACTIVE,all_regimes
camarilla_s3_bounce,dual,unknown,ACTIVE,"bear,crisis,neutral"
classification_change_breakout_long,long,unknown,ACTIVE,all_regimes
classification_change_from_tech_short,short,unknown,ACTIVE,all_regimes
classification_change_momentum_long,long,unknown,ACTIVE,all_regimes
classification_change_oversold_long,long,unknown,ACTIVE,all_regimes
classification_change_recent_long,long,unknown,ACTIVE,all_regimes
classification_change_to_defensive_short,short,unknown,ACTIVE,all_regimes
classification_change_to_tech_long,long,unknown,ACTIVE,all_regimes
classification_change_volume_long,long,unknown,ACTIVE,all_regimes
classification_change_with_insider_long,long,unknown,ACTIVE,all_regimes
classification_change_with_institutional_long,long,unknown,ACTIVE,all_regimes
cmf_flip,dual,unknown,ACTIVE,"bear,neutral"
cpr_narrow_bullish,dual,unknown,ACTIVE,all_regimes
cpr_narrow_momentum,dual,unknown,ACTIVE,all_regimes
cpr_narrow_momentum_short,short,unknown,ACTIVE,"bear,crisis,neutral"
cup_and_handle_long,long,unknown,ACTIVE,"bull,neutral"
cup_and_handle_retest_long,long,unknown,ACTIVE,all_regimes
dc20_break_retest,dual,unknown,ACTIVE,all_regimes
death_cross_50_200_volume,dual,unknown,ACTIVE,"bear,crisis,neutral"
doji_at_resistance_short,short,unknown,ACTIVE,all_regimes
doji_at_support,dual,unknown,ACTIVE,all_regimes
donchian_10_breakout,dual,unknown,ACTIVE,all_regimes
donchian_breakdown_retest_short,short,unknown,ACTIVE,all_regimes
donchian_breakdown_short,short,unknown,ACTIVE,"bear,crisis,neutral"
donchian_breakout_long,long,unknown,ACTIVE,all_regimes
donchian_breakout_retest_long,long,unknown,ACTIVE,all_regimes
donchian_breakout_with_smart_money_long,long,unknown,ACTIVE,all_regimes
double_bottom_long,long,unknown,ACTIVE,"bull,neutral"
dxy_headwind_multinational_short,short,unknown,DISABLED,"bear,bull,crisis,neutral"
flag_bear_retest_short,short,unknown,ACTIVE,all_regimes
flag_bull_long,long,unknown,ACTIVE,"bull,neutral"
flag_bull_retest_long,long,unknown,ACTIVE,all_regimes
force_index_breakout,dual,unknown,ACTIVE,"bear,bull,crisis,neutral"
gold_silver_risk_off_long,long,unknown,ACTIVE,"bear,crisis"
golden_cross_20_50,dual,unknown,ACTIVE,all_regimes
golden_cross_50_200,dual,unknown,ACTIVE,all_regimes
golden_cross_9_21,dual,unknown,ACTIVE,all_regimes
golden_cross_volume,dual,unknown,ACTIVE,all_regimes
halloween_seasonal_long,long,unknown,ACTIVE,"bear,bull,neutral"
hammer_at_support_long,long,unknown,ACTIVE,all_regimes
