strategy_name,direction,status,regime_affinity,exit_method
52w_high_breakout,dual,ACTIVE,"bull,neutral",atr_trail_1x
52w_high_breakout,dual,ACTIVE,"bull,neutral",atr_trail_2x
52w_high_breakout,dual,ACTIVE,"bull,neutral",atr_trail_mae_conditional
52w_high_breakout,dual,ACTIVE,"bull,neutral",atr_trail_vix_conditional
52w_high_breakout,dual,ACTIVE,"bull,neutral",break_even_at_1r
52w_high_breakout,dual,ACTIVE,"bull,neutral",breakeven_plus_trail
52w_high_breakout,dual,ACTIVE,"bull,neutral",chandelier_3x
52w_high_breakout,dual,ACTIVE,"bull,neutral",class_time_stop
52w_high_breakout,dual,ACTIVE,"bull,neutral",earnings_blackout
52w_high_breakout,dual,ACTIVE,"bull,neutral",fixed_4r_2r
52w_high_breakout,dual,ACTIVE,"bull,neutral",hybrid_50pct_target
52w_high_breakout,dual,ACTIVE,"bull,neutral",ma_exit_ema9
52w_high_breakout,dual,ACTIVE,"bull,neutral",mfe_lockin_trail
52w_high_breakout,dual,ACTIVE,"bull,neutral",multi_tier_partial
52w_high_breakout,dual,ACTIVE,"bull,neutral",next_pivot_target
52w_high_breakout,dual,ACTIVE,"bull,neutral",r_multiple_2r
52w_high_breakout,dual,ACTIVE,"bull,neutral",r_multiple_3r
52w_high_breakout,dual,ACTIVE,"bull,neutral",regime_flip
52w_high_breakout,dual,ACTIVE,"bull,neutral",reverse_signal
52w_high_breakout,dual,ACTIVE,"bull,neutral",smart_money_reversal
52w_high_breakout,dual,ACTIVE,"bull,neutral",smc_mitigation_zone
52w_high_breakout,dual,ACTIVE,"bull,neutral",time_stop_10d
52w_high_breakout,dual,ACTIVE,"bull,neutral",time_stop_20d
52w_high_breakout,dual,ACTIVE,"bull,neutral",trailing_10pct
52w_high_breakout,dual,ACTIVE,"bull,neutral",trailing_15pct
52w_high_breakout,dual,ACTIVE,"bull,neutral",trailing_5pct
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,atr_trail_1x
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,atr_trail_2x
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,atr_trail_mae_conditional
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,atr_trail_vix_conditional
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,break_even_at_1r
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,breakeven_plus_trail
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,chandelier_3x
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,class_time_stop
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,earnings_blackout
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,fixed_4r_2r
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,hybrid_50pct_target
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,ma_exit_ema9
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,mfe_lockin_trail
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,multi_tier_partial
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,next_pivot_target
52w_high_breakout_pullback_long,long,ACTIVE,all_regimes,r_multiple_2r
