strategy,exit_method,vix_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_crossover,atr_trail_1x,12.45,2,0.5,-1.62905,-3.2581
macd_crossover,atr_trail_1x,13.2,1,1.0,0.1486,0.1486
macd_crossover,atr_trail_1x,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,atr_trail_1x,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,atr_trail_2x,12.45,2,0.0,-3.7272000000000003,-7.454400000000001
macd_crossover,atr_trail_2x,13.2,1,1.0,0.4942,0.4942
macd_crossover,atr_trail_2x,13.93,1,1.0,21.4586,21.4586
macd_crossover,atr_trail_2x,15.22,1,0.0,-3.9105,-3.9105
macd_crossover,atr_trail_mae_conditional,12.45,2,0.5,-1.62905,-3.2581
macd_crossover,atr_trail_mae_conditional,13.2,1,1.0,0.1486,0.1486
macd_crossover,atr_trail_mae_conditional,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,atr_trail_mae_conditional,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,atr_trail_vix_conditional,12.45,2,0.5,-1.1045,-2.209
macd_crossover,atr_trail_vix_conditional,13.2,1,1.0,0.9109,0.9109
macd_crossover,atr_trail_vix_conditional,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,atr_trail_vix_conditional,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,break_even_at_1r,12.45,2,0.0,-1.68155,-3.3631
macd_crossover,break_even_at_1r,13.2,1,0.0,0.0,0.0
macd_crossover,break_even_at_1r,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,break_even_at_1r,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,breakeven_plus_trail,12.45,2,0.0,-3.3631,-6.7262
macd_crossover,breakeven_plus_trail,13.2,1,0.0,0.0,0.0
macd_crossover,breakeven_plus_trail,13.93,1,1.0,20.7903,20.7903
macd_crossover,breakeven_plus_trail,15.22,1,0.0,-3.7336,-3.7336
macd_crossover,chandelier_3x,12.45,2,0.0,-0.166,-0.332
macd_crossover,chandelier_3x,13.2,1,0.0,-0.2804,-0.2804
macd_crossover,chandelier_3x,13.93,1,1.0,18.8959,18.8959
macd_crossover,chandelier_3x,15.22,1,0.0,-0.0893,-0.0893
macd_crossover,class_time_stop,12.45,2,0.0,-11.9959,-23.9918
macd_crossover,class_time_stop,13.2,1,0.0,-7.4312,-7.4312
macd_crossover,class_time_stop,13.93,1,1.0,23.6139,23.6139
macd_crossover,class_time_stop,15.22,1,0.0,-8.5854,-8.5854
macd_crossover,earnings_blackout,12.45,2,0.0,-30.88865,-61.7773
macd_crossover,earnings_blackout,13.2,1,0.0,-23.9459,-23.9459
macd_crossover,earnings_blackout,13.93,1,1.0,20.7903,20.7903
macd_crossover,earnings_blackout,15.22,1,0.0,-8.5854,-8.5854
macd_crossover,fixed_4r_2r,12.45,2,0.0,-4.1725,-8.345
macd_crossover,fixed_4r_2r,13.2,1,0.0,-5.9025,-5.9025
macd_crossover,fixed_4r_2r,13.93,1,1.0,12.8256,12.8256
macd_crossover,fixed_4r_2r,15.22,1,0.0,-3.9105,-3.9105
macd_crossover,hybrid_50pct_target,12.45,2,0.0,-30.88865,-61.7773
macd_crossover,hybrid_50pct_target,13.2,1,1.0,4.4269,4.4269
macd_crossover,hybrid_50pct_target,13.93,1,1.0,13.5876,13.5876
macd_crossover,hybrid_50pct_target,15.22,1,0.0,-8.5854,-8.5854
macd_crossover,ma_exit_ema9,12.45,2,0.0,-2.42425,-4.8485
macd_crossover,ma_exit_ema9,13.2,1,1.0,2.7112,2.7112
macd_crossover,ma_exit_ema9,13.93,1,0.0,-2.5317,-2.5317
macd_crossover,ma_exit_ema9,15.22,1,0.0,-0.6745,-0.6745
macd_crossover,mfe_lockin_trail,12.45,2,0.5,-1.62905,-3.2581
macd_crossover,mfe_lockin_trail,13.2,1,1.0,0.1486,0.1486
macd_crossover,mfe_lockin_trail,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,mfe_lockin_trail,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,multi_tier_partial,12.45,2,0.5,-1.5116500000000002,-3.0233000000000003
macd_crossover,multi_tier_partial,13.2,1,1.0,1.0828,1.0828
macd_crossover,multi_tier_partial,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,multi_tier_partial,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,next_pivot_target,12.45,2,0.0,-5.8094,-11.6188
macd_crossover,next_pivot_target,13.2,1,1.0,8.8538,8.8538
macd_crossover,next_pivot_target,13.93,1,1.0,0.7561,0.7561
macd_crossover,next_pivot_target,15.22,1,1.0,0.234,0.234
macd_crossover,r_multiple_2r,12.45,2,0.0,-2.08625,-4.1725
macd_crossover,r_multiple_2r,13.2,1,1.0,5.9025,5.9025
macd_crossover,r_multiple_2r,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,r_multiple_2r,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,r_multiple_3r,12.45,2,0.0,-2.08625,-4.1725
macd_crossover,r_multiple_3r,13.2,1,1.0,8.8538,8.8538
macd_crossover,r_multiple_3r,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,r_multiple_3r,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,regime_flip,12.45,2,0.0,-12.5909,-25.1818
macd_crossover,regime_flip,13.2,1,0.0,-4.0747,-4.0747
macd_crossover,regime_flip,13.93,1,1.0,23.5405,23.5405
macd_crossover,regime_flip,15.22,1,0.0,-8.5854,-8.5854
macd_crossover,reverse_signal,12.45,2,0.5,-1.62905,-3.2581
macd_crossover,reverse_signal,13.2,1,1.0,0.1486,0.1486
macd_crossover,reverse_signal,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,reverse_signal,15.22,1,0.0,-1.8668,-1.8668
macd_crossover,smc_mitigation_zone,12.45,2,0.0,-1.7817,-3.5634
macd_crossover,smc_mitigation_zone,13.2,1,1.0,0.1574,0.1574
macd_crossover,smc_mitigation_zone,13.93,1,0.0,-3.2064,-3.2064
macd_crossover,smc_mitigation_zone,15.22,1,0.0,-0.6745,-0.6745
macd_crossover,time_stop_10d,12.45,2,0.0,-7.00295,-14.0059
macd_crossover,time_stop_10d,13.2,1,1.0,6.4568,6.4568
macd_crossover,time_stop_10d,13.93,1,1.0,9.0193,9.0193
macd_crossover,time_stop_10d,15.22,1,0.0,-6.2599,-6.2599
macd_crossover,time_stop_20d,12.45,2,0.0,-12.5909,-25.1818
macd_crossover,time_stop_20d,13.2,1,0.0,-4.0747,-4.0747
macd_crossover,time_stop_20d,13.93,1,1.0,23.5405,23.5405
macd_crossover,time_stop_20d,15.22,1,0.0,-8.5854,-8.5854
macd_crossover,trailing_10pct,12.45,2,0.0,-9.484,-18.968
macd_crossover,trailing_10pct,13.2,1,0.0,-2.2019,-2.2019
macd_crossover,trailing_10pct,13.93,1,1.0,17.556,17.556
macd_crossover,trailing_10pct,15.22,1,0.0,-8.5854,-8.5854
macd_crossover,trailing_15pct,12.45,2,0.0,-12.848099999999999,-25.696199999999997
macd_crossover,trailing_15pct,13.2,1,0.0,-6.8474,-6.8474
macd_crossover,trailing_15pct,13.93,1,1.0,20.7903,20.7903
macd_crossover,trailing_15pct,15.22,1,0.0,-8.5854,-8.5854
macd_crossover,trailing_5pct,12.45,2,0.0,-4.50745,-9.0149
macd_crossover,trailing_5pct,13.2,1,1.0,2.4437,2.4437
macd_crossover,trailing_5pct,13.93,1,0.0,-0.0198,-0.0198
macd_crossover,trailing_5pct,15.22,1,0.0,-5.0,-5.0
po3_bullish,atr_trail_1x,12.45,1,0.0,-2.0987,-2.0987
po3_bullish,atr_trail_1x,13.06,2,0.0,-2.6643999999999997,-5.328799999999999
po3_bullish,atr_trail_1x,13.6,2,0.0,-1.0389,-2.0778
po3_bullish,atr_trail_1x,13.74,1,1.0,4.4992,4.4992
