ticker,date,strategy,reason
JPM,2024-01-02,po3_htf_aligned_long,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,monthly_bias_momentum_long,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,cpr_narrow_bullish,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,macd_fast_crossover,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,hull_rsi,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,ichimoku_cloud_breakout,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,supertrend_macd,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,donchian_10_breakout,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,cpr_narrow_momentum,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,supertrend_ichimoku_adx,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,r1_break_retest,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,52wh_break_retest,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,break_retest_confluence,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,donchian_10_breakout_retest,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,institutional_cluster_long,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,institutional_buy_momentum_long,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,institutional_breakout_confirmation_long,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,totm_long,portfolio_gate_ticker_already_in_portfolio
JPM,2024-01-02,halloween_seasonal_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,xs_low_beta_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,monthly_bias_momentum_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,cpr_narrow_bullish,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,hull_rsi,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,golden_cross_20_50,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,parabolic_sar_flip,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,force_index_breakout,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,three_white_soldiers,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,institutional_cluster_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,institutional_persistent_holders_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,pairs_mean_reversion_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,totm_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,halloween_seasonal_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,poc_magnet_long,portfolio_gate_ticker_already_in_portfolio
UNH,2024-01-02,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,po3_bullish,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,po3_htf_aligned_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,smc_discount_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,smc_ote_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,cpr_narrow_bullish,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,cpr_narrow_momentum,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,institutional_cluster_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,institutional_buy_momentum_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,pairs_mean_reversion_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,totm_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,halloween_seasonal_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,poc_magnet_long,portfolio_gate_ticker_already_in_portfolio
WMT,2024-01-02,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,williams_r_oversold,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,ultimate_oscillator,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,ichimoku_cloud_breakout,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,rsi_oversold,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,inside_bar_breakout,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,supertrend_ichimoku_adx,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,flag_bull_long,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,institutional_cluster_long,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,news_sentiment_long,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,news_sentiment_shift_long,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,totm_long,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,halloween_seasonal_long,portfolio_gate_ticker_already_in_portfolio
HD,2024-01-02,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
JNJ,2024-01-02,cpr_narrow_bullish,portfolio_gate_ticker_already_in_portfolio
JNJ,2024-01-02,macd_crossover,portfolio_gate_ticker_already_in_portfolio
JNJ,2024-01-02,ichimoku_tk_cross,portfolio_gate_ticker_already_in_portfolio
JNJ,2024-01-02,force_index_breakout,portfolio_gate_ticker_already_in_portfolio
JNJ,2024-01-02,macd_ichimoku,portfolio_gate_ticker_already_in_portfolio
JNJ,2024-01-02,cpr_narrow_momentum,portfolio_gate_ticker_already_in_portfolio
