date,ticker,level,reason,exit_price,event,z_score,today_dispersion,dd_from_peak,rolling_peak_equity,current_equity,action,new_stop,note
2022-05-06,CCXI,1.0,overnight_gap_up_16.8pct,18.26,,,,,,,,,
2022-05-13,NEWR,1.0,overnight_gap_down_12.0pct,42.07,,,,,,,,,
2022-06-09,,,,,dispersion_cb_triggered_dec128,10.0,1.011529,,,,,,
2022-06-22,,6.0,,,halt_triggered,,,-0.204,100000.0,79604.41,,,
2022-08-03,HZNP,1.0,overnight_gap_down_21.9pct,64.14,,,,,,,,,
2022-08-12,,6.0,,,halt_resumed,,,-0.1812,100000.0,81875.68,,,
2022-09-06,,,,,dispersion_cb_triggered_dec128,3.9945,0.052668,,,,,,
2022-09-14,,6.0,,,halt_triggered,,,-0.2004,100000.0,79958.41,,,
2022-10-19,,6.0,,,halt_resumed,,,-0.1609,100000.0,83910.20999999999,,,
2022-10-27,,,,,dispersion_cb_triggered_dec128,3.7499,0.043842,,,,,,
2022-11-04,,,,,dispersion_cb_triggered_dec128,3.1431,0.048119,,,,,,
2022-11-10,,,,,dispersion_cb_triggered_dec128,5.124,0.07791,,,,,,
2023-03-07,,,,,dispersion_cb_triggered_dec128,3.0655,0.043689,,,,,,
2023-03-13,ZION,1.0,overnight_gap_down_34.9pct,26.25,,,,,,,,,
2023-04-17,,,,,dispersion_cb_triggered_dec128,9.1426,0.056146,,,,,,
2023-05-05,ZION,1.0,overnight_gap_up_16.9pct,23.29,,,,,,,,,
2023-05-10,,,,,dispersion_cb_triggered_dec128,4.1962,0.064389,,,,,,
2023-07-27,,,,,dispersion_cb_triggered_dec128,3.8201,0.033123,,,,,,
2023-08-03,,,,,dispersion_cb_triggered_dec128,3.5224,0.036561,,,,,,
2023-10-10,,,,,dispersion_cb_triggered_dec128,4.2631,0.033171,,,,,,
2023-12-04,,,,,dispersion_cb_triggered_dec128,10.0,0.138726,,,,,,
2024-02-14,,,,,dispersion_cb_triggered_dec128,4.9422,0.050871,,,,,,
2024-04-30,,,,,dispersion_cb_triggered_dec128,3.0038,0.029968,,,,,,
2024-05-01,,,,,dispersion_cb_triggered_dec128,4.9833,0.039424,,,,,,
2024-05-02,,,,,dispersion_cb_triggered_dec128,5.4632,0.05178,,,,,,
2024-08-08,,,,,dispersion_cb_triggered_dec128,3.1025,0.046218,,,,,,
2024-09-09,,,,,dispersion_cb_triggered_dec128,4.1865,0.043949,,,,,,
2024-09-19,,,,,dispersion_cb_triggered_dec128,3.0528,0.043567,,,,,,
2024-10-31,,,,,dispersion_cb_triggered_dec128,4.655,0.035503,,,,,,
2024-11-06,,,,,dispersion_cb_triggered_dec128,9.1941,0.060259,,,,,,
2025-01-27,SEI,1.0,overnight_gap_down_17.0pct,29.0488,,,,,,,,,
2025-01-27,,,,,dispersion_cb_triggered_dec128,4.0333,0.055788,,,,,,
2025-03-10,,,,,dispersion_cb_triggered_dec128,4.7341,0.065108,,,,,,
2025-03-31,,,,,dispersion_cb_triggered_dec128,4.2082,0.073509,,,,,,
2025-04-04,GLD,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,273.752,
2025-04-04,PEP,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,148.599,
2025-04-04,CVS,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,65.208,
2025-04-04,DHR,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,204.25949999999997,
2025-04-04,DVA,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,146.57549999999998,
2025-04-04,SRE,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,69.2075,
2025-04-04,ORLA,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,9.082,
2025-04-04,UTI,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,25.5075,
2025-04-04,NRIX,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,10.811,
2025-04-04,STKL,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,4.4745,
2025-04-04,REPL,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,8.188999999999998,
2025-04-04,SYM,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,16.67117,
2025-04-04,GEHC,1.0,overnight_gap_down_12.0pct,63.36,,,,,,,,,
2025-04-04,GEHC,5.0,vix_crisis_45.3,,,,,,,,,,co-fired with exit; not applied (position already closing)
2025-04-04,FIVE,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,51.177735,
2025-04-07,GLD,5.0,vix_crisis_47.0,,,,,,,,tighten_stop,273.752,
2025-04-07,DVA,5.0,vix_crisis_47.0,,,,,,,,tighten_stop,146.57549999999998,
2025-04-07,FIVE,5.0,vix_crisis_47.0,,,,,,,,tighten_stop,53.9315,
2025-04-08,FIVE,5.0,vix_crisis_52.3,,,,,,,,tighten_stop,57.836,
2025-04-08,SW,5.0,vix_crisis_52.3,,,,,,,,tighten_stop,38.858039999999995,
2025-04-08,FRT,5.0,vix_crisis_52.3,,,,,,,,tighten_stop,85.40756499999999,
2025-04-08,NTES,5.0,vix_crisis_52.3,,,,,,,,tighten_stop,90.370935,
2025-04-08,COGT,5.0,vix_crisis_52.3,,,,,,,,tighten_stop,4.62821,
2025-04-10,LEVI,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,14.183499999999999,
2025-04-10,UNH,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,549.5749999999999,
2025-04-10,MSI,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,396.3305,
2025-04-10,IFF,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,69.3215,
2025-04-10,WWW,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,11.7135,
2025-04-10,OII,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,17.176,
2025-04-10,USO,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,64.201,
2025-04-10,TMDX,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,70.386355,
2025-04-10,AVGO,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,167.28445499999998,
2025-04-10,PRTA,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,9.503894999999998,
2025-04-10,CDNA,5.0,vix_crisis_40.7,,,,,,,,tighten_stop,17.224639999999997,
2025-04-17,UNH,1.0,overnight_gap_down_17.6pct,481.95,,,,,,,,,
2025-07-22,,,,,dispersion_cb_triggered_dec128,7.1233,0.057555,,,,,,
2025-07-30,,,,,dispersion_cb_triggered_dec128,5.201,0.071256,,,,,,
